% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.545605604e+02 +1.545605604e+02 +1.376205604e+02 +1.376205604e+02 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
58 +9.260245147e+01 +9.260245147e+01 +7.566245147e+01 +7.566245147e+01 +8.5168e-01 +2.5650e-01 -3.7993e-01 +5.7909e-01 +1.0324e+00 +5.7116e-01 +4.2615e-01 +5.9497e-01 +2.7853e-01 +8.9361e-01 +7.1015e-01 +2.2938e-01 -1.1686e-01 +1.0806e+00 +1.4468e+00 +2.9008e-01 +5.4796e-01 +1.3276e+00 +9.3979e-01 +8.4439e-01
97 +5.338452392e+01 +5.338452392e+01 +3.644452392e+01 +3.644452392e+01 +1.8923e+00 +4.6060e-01 -6.9628e-01 +2.7766e-01 +8.7048e-01 +1.0025e+00 +9.6722e-01 -3.9851e-02 +4.5018e-01 +2.0120e-01 +1.2667e+00 +6.4229e-01 -3.9695e-01 +7.8887e-02 +1.1338e+00 +2.7973e-01 +5.2452e-01 +1.8214e+00 +9.3287e-01 +8.1137e-01
149 +3.838789627e+01 +3.838789627e+01 +2.144789627e+01 +2.144789627e+01 +2.0293e+00 +2.0907e-01 -8.3625e-01 +2.6743e-01 +6.8298e-01 +1.2211e+00 +1.9932e+00 -1.2076e+00 +1.0345e+00 +5.8412e-01 +2.3481e+00 +4.1433e-01 -1.0015e+00 +6.3526e-02 +1.1288e+00 +9.6057e-01 -3.6565e-01 +2.2488e+00 +6.6925e-01 +1.4277e+00
275 +2.162835798e+01 +2.162835798e+01 +4.688357979e+00 +4.688357979e+00 +2.7569e+00 +1.7108e+00 -2.1840e+00 +2.6958e-01 +1.7298e+00 +4.1524e-01 +1.5023e+00 -5.1540e-01 -1.0211e+00 -1.3167e+00 +3.1845e+00 +5.3388e-01 +2.8045e-01 -6.9898e-01 +3.0848e+00 +2.2762e+00 +1.3355e+00 +2.4426e+00 +1.3203e+00 +7.3446e-01
361 +1.412454772e+01 +1.412454772e+01 -2.815452285e+00 -2.815452285e+00 +3.3812e+00 +2.3981e+00 -1.1711e+00 +3.5825e-01 +1.5929e+00 +6.6681e-01 +2.2634e+00 -1.1497e+00 -2.2364e+00 -7.0106e-01 +4.5126e+00 +8.2267e-01 -7.1048e-01 -1.4857e+00 +2.4740e+00 +3.3994e+00 +3.0755e+00 +1.0271e+00 -1.8890e-01 +1.4597e+00
502 +9.937086552e+00 +9.937086552e+00 -7.002913448e+00 -7.002913448e+00 +3.4066e+00 +1.5088e+00 -1.2847e+00 +1.1165e+00 +2.0863e+00 -9.9737e-01 +1.8901e+00 -1.8268e+00 -4.5624e-01 -1.4399e+00 +4.5061e+00 -2.7627e-02 -8.7820e-01 -2.4037e+00 +2.0753e+00 +3.7146e+00 +2.3311e+00 +8.4592e-01 +3.9747e-02 +2.4155e+00
638 +5.573116058e+00 +5.573116058e+00 -1.136688394e+01 -1.136688394e+01 +4.1295e+00 +1.2536e+00 -7.2939e-01 +1.6076e+00 +2.2833e+00 -9.7093e-01 +3.0760e+00 -1.6010e+00 -2.4425e-01 -1.8685e+00 +4.0414e+00 -8.9056e-01 -1.1222e+00 -2.0077e+00 +2.2516e+00 +3.1744e+00 +3.1661e+00 -1.4335e-01 -7.5036e-02 +3.0483e+00
690 +3.943991412e+00 +3.943991412e+00 -1.299600859e+01 -1.299600859e+01 +3.7529e+00 +1.2959e+00 -7.3725e-01 +1.4176e+00 +1.8544e+00 -1.6421e+00 +3.0747e+00 -1.7625e+00 +1.2315e-01 -1.8191e+00 +3.7162e+00 -5.9587e-01 -1.0225e+00 -1.6570e+00 +2.0509e+00 +3.1345e+00 +3.1400e+00 -5.2182e-02 +4.0338e-01 +2.7279e+00
939 +2.358725554e+00 +2.358725554e+00 -1.458127445e+01 -1.458127445e+01 +3.7870e+00 +1.7838e+00 -6.6533e-01 +1.4249e+00 +1.9267e+00 -1.8676e+00 +3.0148e+00 -2.1137e+00 -1.5117e-01 -1.8981e+00 +3.9143e+00 -9.6753e-02 -1.7747e+00 -1.6600e+00 +2.1020e+00 +2.7318e+00 +3.3517e+00 +1.2117e-03 +7.0239e-01 +2.6085e+00
