% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.265530105e+02 +3.265530105e+02 +4.060330105e+02 +4.060330105e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.857992805e+02 +1.857992805e+02 +2.652792805e+02 +2.652792805e+02 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
21 +1.575761178e+02 +1.575761178e+02 +2.370561178e+02 +2.370561178e+02 -7.7114e-01 -4.0577e+00 +9.8524e-01 -2.9076e-01 +1.9595e+00 +1.9989e+00 +1.3853e+00 -4.6640e+00 -4.3119e+00 -1.8040e+00 +3.0864e-01 +1.5445e+00 -9.2381e-01 +3.1998e+00 +2.1836e+00 +4.6865e+00 +3.1334e-01 -1.7485e+00 -3.9437e+00 +1.1096e+00
83 +9.666539272e+01 +9.666539272e+01 +1.761453927e+02 +1.761453927e+02 -4.3622e-01 -2.7545e+00 +1.5830e+00 +9.5200e-01 -1.1313e+00 +1.1671e+00 +1.4559e+00 +3.0004e-01 +9.3648e-02 +5.4687e-01 -2.3975e-01 +3.3775e+00 -4.4902e-01 -1.3739e+00 -1.8100e+00 +1.9836e+00 +2.5974e+00 -2.4654e+00 +8.2120e-01 -7.6188e-01
202 +5.601544498e+01 +5.601544498e+01 +1.354954450e+02 +1.354954450e+02 +2.9775e-01 -6.5721e-01 +1.6981e+00 +5.3039e-01 -1.8948e-01 -3.7765e-02 +1.7594e+00 +6.0197e-02 -1.4452e+00 -1.2091e+00 -5.3896e-01 +3.1833e-01 -6.3999e-01 +1.2257e-01 +9.7132e-01 +4.0000e+00 +6.3717e-01 -1.3145e+00 +1.4259e+00 +3.4446e-01
253 +3.725440721e+01 +3.725440721e+01 +1.167344072e+02 +1.167344072e+02 -1.0607e+00 +3.7455e-02 +1.1310e+00 +1.8836e-01 -1.3123e+00 -1.8525e+00 +2.7813e-01 +8.0862e-01 -1.4920e+00 -1.6713e+00 -8.3136e-01 +2.1597e+00 -3.4625e-01 +9.3570e-01 +1.6377e+00 +3.0000e+00 +2.6747e-01 -2.8556e+00 +2.6744e+00 +1.8694e+00
367 +2.459356583e+01 +2.459356583e+01 +1.040735658e+02 +1.040735658e+02 -1.3978e+00 +6.9531e-01 +1.2361e+00 +7.9873e-01 -2.7911e+00 -9.4422e-01 -3.1463e-01 +1.3864e+00 -1.0765e+00 -1.5885e+00 -1.4410e+00 +1.9013e+00 +8.1336e-01 +3.2771e-01 +2.7901e+00 +2.5575e+00 +3.1950e-01 -4.0585e+00 +2.5368e+00 +1.7037e+00
490 +1.437970317e+01 +1.437970317e+01 +9.385970317e+01 +9.385970317e+01 -4.1384e-01 +5.2871e-01 +2.9717e-01 +9.4637e-01 -2.3870e+00 +1.5957e-01 -9.1988e-01 +5.9280e-01 -5.9440e-01 -2.7364e+00 -2.7150e+00 +2.7597e+00 -1.8990e-01 -4.7946e-01 +3.2845e+00 +2.5231e+00 -1.3267e+00 -3.9150e+00 +3.4661e+00 +1.9010e+00
669 +9.926769462e+00 +9.926769462e+00 +8.940676946e+01 +8.940676946e+01 -6.3964e-01 -1.3896e+00 +7.4934e-01 +1.0478e+00 -2.1889e+00 +3.3477e-01 -9.9982e-01 -3.6481e-01 -2.5456e-01 -2.8513e+00 -2.9070e+00 +2.1029e+00 +3.4296e-01 -3.3286e-01 +3.3961e+00 +2.8433e+00 -9.0762e-01 -3.9968e+00 +2.9912e+00 +1.9205e+00
927 +6.145378966e+00 +6.145378966e+00 +8.562537897e+01 +8.562537897e+01 -1.2440e-01 -7.7813e-01 +1.1144e-01 +9.3218e-01 -2.5391e+00 +7.2486e-01 -1.4104e+00 -2.8743e-03 -7.9680e-01 -3.0763e+00 -3.0284e+00 +2.1163e+00 +8.3607e-01 +3.7223e-01 +2.9072e+00 +2.9674e+00 -3.1997e-01 -3.7827e+00 +2.6477e+00 +1.4985e+00
1282 +3.977280256e+00 +3.977280256e+00 +8.345728026e+01 +8.345728026e+01 -9.2535e-02 -1.0945e+00 -1.7885e-01 +1.7110e+00 -2.4208e+00 +6.0346e-01 -1.1150e+00 +2.1845e-01 -8.9568e-01 -3.4196e+00 -3.2602e+00 +2.3643e+00 +5.7264e-01 -6.8378e-01 +3.2272e+00 +2.7872e+00 -5.6117e-01 -3.5317e+00 +2.3792e+00 +1.6593e+00
1446 +2.490877106e+00 +2.490877106e+00 +8.197087711e+01 +8.197087711e+01 -3.8858e-02 -1.2276e+00 -2.5931e-01 +1.6807e+00 -2.7894e+00 +5.3558e-01 -6.8457e-01 +4.2097e-02 -1.5495e+00 -3.5034e+00 -3.6137e+00 +2.3667e+00 +6.9702e-01 -4.8883e-01 +3.1602e+00 +2.1917e+00 -3.5327e-01 -3.4218e+00 +2.4506e+00 +1.3903e+00
1805 +1.551234894e+00 +1.551234894e+00 +8.103123489e+01 +8.103123489e+01 +1.0436e-01 -8.1082e-01 -4.3292e-01 +1.6767e+00 -2.8316e+00 +4.1552e-01 -6.9306e-01 -6.9686e-02 -1.3821e+00 -3.4220e+00 -3.5269e+00 +1.9438e+00 +9.0477e-01 -3.8558e-01 +3.2058e+00 +2.4969e+00 +2.1325e-03 -3.7035e+00 +2.3558e+00 +1.4110e+00
2332 +9.562736643e-01 +9.562736643e-01 +8.043627366e+01 +8.043627366e+01 -6.9805e-02 -8.7147e-01 -6.1892e-01 +1.8127e+00 -2.8308e+00 +4.3114e-01 -4.1275e-01 +7.5414e-03 -1.3674e+00 -3.4999e+00 -3.7936e+00 +1.8355e+00 +1.1795e+00 -4.7467e-01 +3.4710e+00 +2.6988e+00 -9.8920e-03 -3.8269e+00 +2.3261e+00 +1.5911e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.407729689e+02 +4.407729689e+02 +8.352529689e+02 +8.352529689e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +3.218841261e+02 +3.218841261e+02 +7.163641261e+02 +7.163641261e+02 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
10 +2.374502049e+02 +2.374502049e+02 +6.319302049e+02 +6.319302049e+02 +4.7009e-01 -2.0368e+00 +2.4469e+00 -3.1104e+00 +1.8678e+00 -3.1649e+00 -1.3152e+00 +1.2562e+00 +2.8023e+00 -4.1887e+00 +4.2939e+00 +2.7571e+00 -1.3208e-01 -6.4141e-01 -5.3216e-01 -1.9365e+00 +8.5087e-02 +1.0772e-01 +3.1763e+00 +2.9483e+00
83 +1.527653824e+02 +1.527653824e+02 +5.472453824e+02 +5.472453824e+02 -1.5279e+00 -1.4072e+00 +6.5517e-01 +9.5200e-01 -1.1313e+00 -1.0236e-01 +1.4559e+00 -5.3687e-01 +9.3648e-02 +5.4687e-01 -1.2164e+00 +1.3775e+00 -4.4902e-01 -1.3739e+00 -1.8100e+00 +1.9836e+00 +2.5974e+00 -1.5769e+00 -1.1473e+00 -7.6188e-01
153 +9.629125436e+01 +9.629125436e+01 +4.907712544e+02 +4.907712544e+02 -2.3730e+00 -1.5971e+00 -1.7842e+00 +2.5120e-01 +6.5824e-01 -1.6087e+00 +2.7916e+00 -3.9708e+00 -4.0437e+00 -1.0720e+00 -6.3892e-01 -1.1955e+00 -1.6909e+00 +2.2479e+00 -3.3557e-01 +3.2819e+00 -9.4430e-01 -2.9048e+00 -5.3792e-01 +1.2886e+00
241 +5.791138662e+01 +5.791138662e+01 +4.523913866e+02 +4.523913866e+02 -2.4885e+00 -1.9421e+00 -1.0090e+00 +1.3260e+00 +1.5782e+00 -1.7863e+00 +1.8213e+00 -1.0887e+00 -1.4249e+00 -1.3511e+00 +1.7916e+00 -1.2941e+00 -5.6284e-01 +1.6203e+00 -1.7616e+00 +2.3210e+00 -9.0094e-01 -1.8426e+00 -1.8125e+00 -1.5342e-02
285 +3.411923704e+01 +3.411923704e+01 +4.285992370e+02 +4.285992370e+02 -1.8704e+00 -2.4180e+00 -2.5057e+00 +2.9642e+00 +1.1013e+00 -2.0873e+00 +1.9461e+00 -1.2103e+00 -7.5922e-01 -2.6890e+00 +2.6342e+00 -5.7486e-01 +1.1836e+00 +1.7101e+00 -2.0524e+00 +3.1747e+00 -7.9711e-01 +3.0152e-01 -1.3435e+00 -9.5179e-02
326 +2.323244751e+01 +2.323244751e+01 +4.177124475e+02 +4.177124475e+02 -1.9929e+00 -1.8103e+00 -3.3313e+00 +2.6512e+00 +6.7057e-01 -2.5740e+00 +9.8422e-01 +1.2901e-01 -1.4498e+00 -3.9524e+00 +2.3913e+00 -9.9502e-02 +1.5870e+00 +2.3798e+00 -2.4598e+00 +2.9667e+00 -1.4326e+00 -1.4470e+00 -1.0287e+00 +8.1033e-01
