% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.310076064e+02 +1.310076064e+02 +2.845760641e+01 +2.845760641e+01 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +4.666885033e+01 +4.666885033e+01 -5.588114967e+01 -5.588114967e+01 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
10 +3.323298520e+01 +3.323298520e+01 -6.931701480e+01 -6.931701480e+01 +4.7009e-01 -2.0368e+00 +2.4469e+00 -3.1104e+00 +1.8678e+00 -3.1649e+00 -1.3152e+00 +1.2562e+00 +2.8023e+00 -4.1887e+00 +4.2939e+00 +2.7571e+00 -1.3208e-01 -6.4141e-01 -5.3216e-01 -1.9365e+00 +8.5087e-02 +1.0772e-01 +3.1763e+00 +2.9483e+00
11 +2.504518748e+01 +2.504518748e+01 -7.750481252e+01 -7.750481252e+01 +1.4432e+00 -1.2139e+00 +3.1158e+00 +3.2826e-01 -1.4927e+00 +4.3900e+00 +3.7594e+00 +5.0156e-01 +1.2248e+00 +8.7045e-01 -2.9226e+00 -1.9875e+00 -2.9077e-01 -2.6951e+00 +3.4431e+00 -3.0524e+00 -2.7408e+00 -3.2929e+00 -2.7234e+00 -6.4301e-01
83 +1.361464849e+01 +1.361464849e+01 -8.893535151e+01 -8.893535151e+01 +1.3200e+00 -9.5368e-01 +2.4108e+00 +9.5200e-01 -1.1313e+00 -1.0236e-01 +8.3229e-01 +3.6879e-01 +9.0694e-01 +5.4687e-01 -2.2397e+00 +5.4800e-01 -4.4902e-01 -2.2564e+00 -1.8100e+00 -2.0164e+00 +2.5974e+00 -2.3440e+00 +5.2236e-01 -9.1438e-01
135 +9.046981746e+00 +9.046981746e+00 -9.350301825e+01 -9.350301825e+01 -1.6946e+00 -3.8615e-01 +1.0002e+00 -1.8419e+00 +1.0472e+00 +9.8666e-02 +1.7376e+00 +1.4844e+00 +1.1748e+00 -3.1113e-01 -1.7051e+00 +3.9932e-01 +8.6512e-01 -1.9287e+00 +4.1055e-01 -2.1065e+00 +1.7868e+00 -6.1107e-01 +9.6790e-01 +1.0201e+00
825 +6.068689754e+00 +6.068689754e+00 -9.648131025e+01 -9.648131025e+01 +2.3948e-01 -2.3993e+00 -2.8379e-01 -1.4007e-01 +1.7857e-01 -2.7543e-01 +1.3205e+00 +6.8474e-02 +1.0412e+00 -1.6372e+00 +5.1608e-01 -8.2079e-01 -8.0106e-01 -1.8492e+00 -3.1364e-02 -2.7831e+00 -1.2174e+00 -1.9576e+00 -8.5232e-01 -2.6316e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.035898959e+02 +1.035898959e+02 +1.752798959e+02 +1.752798959e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +9.175596383e+01 +9.175596383e+01 +1.634459638e+02 +1.634459638e+02 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
3 +3.088732715e+01 +3.088732715e+01 +1.025773272e+02 +1.025773272e+02 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
43 +2.122421988e+01 +2.122421988e+01 +9.291421988e+01 +9.291421988e+01 +3.8744e-01 -3.4018e-01 +1.6552e+00 +1.9520e+00 -2.5587e+00 -1.1024e+00 -2.3721e-01 +9.8257e-01 +1.0936e+00 +3.5469e+00 -1.2397e+00 +2.7970e+00 +8.5050e-01 -2.3739e+00 -2.8100e+00 +9.8364e-01 +3.5974e+00 -5.9614e-01 +1.3154e+00 -3.7619e+00
