% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.503671554e+06 +8.503671554e+06 +8.503616614e+06 +8.503616614e+06 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
24 +6.046244909e+06 +6.046244909e+06 +6.046189969e+06 +6.046189969e+06 +8.2416e-01 +6.0760e-01 -2.6952e-01 +7.9099e-01 +9.1186e-01 -3.3234e-02 +6.4660e-02 +4.3790e-01 +6.7397e-01 +1.2746e+00 -2.3469e-02 +6.3627e-01 +1.1209e+00 +2.7986e-01 +7.0129e-01 +3.0257e-01 +2.8612e-01 +9.5207e-01 +4.8825e-01 +3.8559e-01
73 +2.893823742e+06 +2.893823742e+06 +2.893768802e+06 +2.893768802e+06 +9.0853e-01 -6.3318e-01 -4.9218e-01 +8.4055e-01 +8.5803e-01 +2.9231e-01 +7.2325e-02 +6.8552e-01 +4.3447e-01 +7.9199e-01 -3.3475e-01 -4.4606e-02 +1.2223e+00 +1.0163e-02 +9.7695e-01 +8.9269e-01 +7.7353e-01 +2.0577e+00 +2.4903e-01 +8.5557e-01
91 +2.448382332e+06 +2.448382332e+06 +2.448327392e+06 +2.448327392e+06 +7.8494e-01 -7.9366e-01 -7.5768e-01 +1.2114e+00 +3.3873e-01 +4.5698e-02 +4.3808e-02 +1.0207e+00 +2.5219e-02 +1.4652e+00 -1.5632e-02 -3.0420e-02 +1.3078e+00 -3.6183e-02 +6.4962e-01 +6.1867e-01 +6.2352e-01 +2.1073e+00 -1.2209e-01 +7.1008e-01
118 +1.438307803e+06 +1.438307803e+06 +1.438252863e+06 +1.438252863e+06 +6.1101e-01 -7.6040e-01 -1.1209e+00 +1.0350e+00 +5.5572e-01 +5.4101e-01 +3.4428e-01 +6.3076e-01 -4.0832e-01 +1.1799e+00 -6.5629e-01 +4.3125e-01 +1.1659e+00 +3.2717e-02 +4.8565e-01 +2.2209e-02 +1.0633e+00 +2.4859e+00 -1.0810e-01 +1.3342e+00
149 +9.731326977e+05 +9.731326977e+05 +9.730777577e+05 +9.730777577e+05 -4.5873e-02 -1.6555e+00 -1.7771e+00 +1.6517e+00 +9.3808e-01 -3.8986e-01 +1.2403e-01 -6.9966e-02 -1.0511e+00 +1.2589e+00 -1.4210e+00 +8.8061e-01 +1.6242e+00 +3.2785e-01 +4.9491e-02 +8.4025e-01 +1.0564e+00 +2.0241e+00 +4.0330e-01 +5.8221e-01
208 +4.928880206e+05 +4.928880206e+05 +4.928330806e+05 +4.928330806e+05 +9.0015e-01 -2.1719e+00 -2.8712e+00 +1.5385e+00 +2.0255e+00 +1.3482e+00 -2.9381e-01 +8.2259e-01 -1.8344e+00 +2.7532e+00 -2.7421e+00 +2.6026e+00 +6.6456e-01 -8.4669e-01 -1.7019e+00 +1.0241e+00 +6.4173e-01 +1.9470e+00 +1.1031e+00 +1.0810e+00
244 +3.453966002e+05 +3.453966002e+05 +3.453416602e+05 +3.453416602e+05 +1.0903e+00 -2.4993e+00 -3.5033e+00 +9.2127e-01 +8.6580e-01 -4.3911e-01 +2.7496e-02 +5.9945e-01 -8.7172e-01 +1.6983e+00 -1.6223e+00 +1.4664e+00 +4.5700e-01 -5.3865e-01 -1.7268e+00 +1.3135e+00 +9.8043e-01 +3.2141e+00 +8.9597e-01 +1.6086e+00
262 +2.506681047e+05 +2.506681047e+05 +2.506131647e+05 +2.506131647e+05 -2.4061e-02 -2.2557e+00 -2.7841e+00 +2.0951e+00 +1.9735e+00 +7.0574e-03 +3.6042e-01 +1.5834e+00 -2.3552e+00 +2.2197e+00 -9.0247e-01 +2.1975e+00 +8.9049e-02 +1.1353e-01 -5.2489e-01 +1.8744e+00 +5.9381e-01 +1.4981e+00 +8.3085e-01 +8.7126e-02
458 +1.546299611e+05 +1.546299611e+05 +1.545750211e+05 +1.545750211e+05 -3.1109e-01 -2.4460e+00 -3.6923e+00 +2.2467e+00 +9.7609e-01 -3.1360e-01 +3.9807e-01 +1.2960e+00 -1.7585e+00 +2.9784e+00 -1.6007e+00 +2.4977e+00 +1.0460e+00 +1.2473e+00 -7.4153e-01 +2.2509e+00 +1.6861e+00 +1.6582e+00 -3.3929e-01 +6.1792e-01
