% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.392713823e+02 +1.392713823e+02 +1.223313823e+02 +1.223313823e+02 -2.7651e+00 +3.0117e+00 +2.7483e+00 -4.7066e+00 +1.2822e-01 +1.1680e+00 +1.2860e+00 +1.4641e+00 +3.8760e+00 -1.7949e-01 -1.7865e+00 +1.5501e+00 -3.1759e+00 -1.8614e+00 +4.4641e+00 -4.6846e+00 +1.5888e+00 +4.4418e-02 +3.5595e+00 +3.7062e+00
8 +5.115305909e+01 +5.115305909e+01 +3.421305909e+01 +3.421305909e+01 +3.6451e+00 +1.1960e+00 -4.1507e+00 -1.7642e+00 +4.5701e+00 +1.0020e+00 +1.5590e+00 +6.2914e-01 -3.6930e+00 -1.2393e+00 +4.2254e+00 +1.3989e+00 -3.0160e+00 -5.4612e-01 -1.4529e+00 +1.0401e+00 +1.1539e+00 -6.7559e-01 +1.9494e+00 +2.4630e+00
554 +3.332550965e+01 +3.332550965e+01 +1.638550965e+01 +1.638550965e+01 +4.1207e+00 -1.7844e+00 +1.9791e+00 -2.9181e+00 +3.7208e+00 +4.5257e-01 +4.3242e+00 +1.9880e+00 +4.5072e+00 -2.1031e-01 +3.3849e+00 -2.4043e-01 -3.6471e+00 +1.3429e+00 +2.3057e+00 +2.4289e+00 +4.1149e+00 -2.1429e+00 +1.5650e+00 -4.1585e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.721927120e+02 +3.721927120e+02 +3.910027120e+02 +3.910027120e+02 +2.7509e+00 +2.7327e+00 -2.8127e+00 -3.7745e+00 +3.9422e+00 -1.3888e+00 +2.9505e+00 +2.9197e+00 +4.8463e+00 +3.5839e+00 -2.8935e+00 +2.4513e+00 -3.6328e+00 +1.6774e+00 -6.6703e-01 +4.6684e+00 -7.9533e-01 -4.8379e+00 +2.1653e+00 -2.8494e+00
2 +1.371157902e+02 +1.371157902e+02 +1.559257902e+02 +1.559257902e+02 -4.0970e+00 +2.5143e+00 -5.2968e-01 -3.0769e+00 -1.9118e+00 -1.2384e+00 -4.9920e-01 -1.2997e+00 +3.2510e+00 -6.6116e-01 -2.9076e+00 -1.3775e+00 +1.0896e+00 +2.3350e+00 +4.2946e+00 -2.1142e+00 -1.1722e+00 -1.7986e+00 -9.7600e-01 +8.2892e-01
9 +7.885813570e+01 +7.885813570e+01 +9.766813570e+01 +9.766813570e+01 -2.2939e+00 -1.0742e+00 -9.5752e-01 +1.4279e+00 +3.7968e+00 +3.7710e+00 +2.8923e+00 +4.5000e+00 -4.6590e+00 +4.3025e+00 -4.7027e+00 +4.7340e+00 +2.9082e+00 +3.9452e-01 +3.5593e+00 +3.1599e+00 -3.0990e+00 +4.3226e+00 +3.0694e+00 -4.5963e+00
43 +5.456209226e+01 +5.456209226e+01 +7.337209226e+01 +7.337209226e+01 +6.7560e-01 +3.7603e+00 -2.3457e+00 -3.8801e-02 +1.8590e+00 -1.1459e-01 +4.2886e+00 +4.8414e+00 +8.5296e-01 +1.8428e+00 -1.0604e+00 -4.0073e+00 +1.4399e+00 -4.7669e+00 -2.5502e+00 -2.1251e+00 -4.7965e+00 +4.1616e-01 -8.0738e-01 -1.4016e+00
1177 +3.649172880e+01 +3.649172880e+01 +5.530172880e+01 +5.530172880e+01 +7.1409e-02 +2.6367e-01 +2.0136e+00 -2.2964e+00 +4.9203e-01 -4.1604e+00 -8.7707e-01 +1.8795e+00 +2.8783e+00 +8.9977e-01 +8.8803e-01 +2.7623e+00 +4.3916e+00 -1.4788e+00 +4.7186e+00 +9.6068e-01 -1.8983e+00 +8.8722e-02 +3.3174e-01 +3.2617e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.421317127e+02 +6.421317127e+02 +9.152817127e+02 +9.152817127e+02 -1.2814e+00 +2.4631e+00 -3.6525e+00 +2.0197e+00 -1.2193e+00 -4.6730e+00 +3.6029e+00 +3.6154e+00 +3.9412e+00 +1.1851e+00 -4.5972e+00 -1.8526e+00 -1.0486e+00 -3.2031e+00 +2.8665e-01 -4.5202e+00 -1.8234e+00 +2.9671e+00 -4.3644e+00 +4.5546e+00
2 +3.392183595e+02 +3.392183595e+02 +6.123683595e+02 +6.123683595e+02 -2.1332e+00 +4.5310e+00 +9.8469e-01 -1.1615e+00 -4.8643e+00 +6.1231e-01 +4.2678e+00 +1.5665e+00 -3.3738e+00 -2.0821e+00 +1.0290e+00 +9.5567e-01 +1.1458e+00 -4.9898e+00 +3.0286e+00 +6.6296e-01 +4.7620e+00 +4.3980e+00 +3.4549e+00 -6.0560e-02
7 +2.422709320e+02 +2.422709320e+02 +5.154209320e+02 +5.154209320e+02 -2.7958e-01 -2.2077e+00 +4.1369e+00 -9.0554e-02 +2.5396e+00 -8.7914e-02 +3.0324e+00 -1.7248e+00 -1.2184e+00 +2.6099e+00 -4.0314e+00 +1.9283e-01 +4.8347e+00 +4.3193e+00 +3.7428e+00 -1.3665e-02 +3.1608e+00 +7.7044e-01 -2.1550e+00 -3.2922e+00
