% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.858090492e+02 +6.858090492e+02 +7.884190492e+02 +7.884190492e+02 -8.8528e-02 -3.2503e+00 -1.5457e+00 -1.7057e-01 -3.9959e+00 +1.9131e+00 -1.9096e+00 +2.8266e+00 -2.4044e+00 +1.5038e+00 -2.5710e+00 +3.1168e+00 -4.4213e-01 +2.6862e+00 -1.5089e+00 +4.5093e+00 -1.7358e+00 +3.4662e+00 +1.7961e+00 -1.3399e+00
11 +6.139847821e+02 +6.139847821e+02 +7.165947821e+02 +7.165947821e+02 -1.6339e+00 +2.7304e+00 -1.2202e+00 +4.9317e+00 +2.4781e+00 +1.1949e+00 +1.2275e-01 +4.7347e+00 -3.8291e-01 +1.0807e+00 +1.7428e+00 +3.6364e+00 +1.4588e+00 -2.0126e+00 +9.6412e-01 +4.5320e+00 +8.1406e-01 +1.1775e-01 -3.3145e-01 -6.9268e-01
4147 +3.595648159e+02 +3.595648159e+02 +4.621748159e+02 +4.621748159e+02 -1.1051e+00 -7.0710e-01 +2.2469e-01 +3.3216e+00 -2.9674e+00 -2.7040e+00 -1.8654e+00 -3.2578e+00 -5.9422e-01 +1.7363e+00 -4.2935e-01 -8.1912e-01 -2.3219e+00 -7.1918e-01 -1.0511e+00 +2.2052e-01 +2.9652e+00 -3.4759e-02 -9.3400e-02 +1.7450e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.991104386e+02 +8.991104386e+02 +9.924104386e+02 +9.924104386e+02 -4.9739e+00 +2.5913e+00 +4.1870e+00 -1.7087e+00 +1.7285e+00 +3.9495e+00 -3.9608e+00 +1.1999e+00 -4.9440e+00 +3.0669e+00 +1.5971e-01 +3.8107e-01 +3.1730e+00 +4.6677e+00 +4.7374e+00 -6.9922e-01 -1.2297e-01 -9.3412e-01 -1.2490e+00 -1.6282e+00
9 +5.769092098e+02 +5.769092098e+02 +6.702092098e+02 +6.702092098e+02 -2.0850e+00 +7.8353e-01 +4.2010e+00 -2.7424e-01 -1.3267e+00 -7.2724e-01 +3.9185e+00 -2.7742e-01 -1.7653e+00 -9.0889e-01 -3.0065e+00 +2.1558e+00 -1.9997e+00 +5.3532e-01 -3.8278e+00 -3.7249e+00 +7.0191e-01 +1.8467e+00 -1.7101e+00 -2.0289e+00
1317 +3.560132080e+02 +3.560132080e+02 +4.493132080e+02 +4.493132080e+02 -1.1223e+00 -2.6839e+00 +2.7345e+00 -1.5630e+00 +1.6166e+00 -1.9327e+00 -1.3272e-01 -2.5528e-01 +2.3139e-01 -1.3080e+00 -5.6135e-01 -4.1057e+00 -6.2794e-01 +1.8069e+00 +5.5411e-01 +2.2005e+00 -2.9629e-01 -2.0241e+00 +2.5801e+00 +1.6617e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.681860588e+02 +8.681860588e+02 +8.818260588e+02 +8.818260588e+02 -1.0593e+00 +2.9280e+00 +6.4507e-01 +3.6519e+00 -3.3547e+00 -3.3467e+00 +2.0869e+00 -5.3655e-02 +4.0642e+00 +4.7996e+00 +8.6505e-01 -1.6387e+00 +2.8415e+00 +1.2685e+00 +4.0423e+00 +3.8212e+00 +2.6236e+00 +4.7889e+00 +2.4984e+00 +1.5810e+00
34 +5.959206463e+02 +5.959206463e+02 +6.095606463e+02 +6.095606463e+02 -2.0406e+00 +3.8358e+00 +3.4856e+00 +7.1992e-01 +6.7248e-02 +1.1450e-01 -1.8765e+00 -3.2540e+00 -3.5085e-01 +3.7297e+00 -2.1879e+00 +2.0839e+00 -6.8423e-03 +2.7881e+00 -4.4937e+00 -3.6851e+00 -1.9807e+00 -3.4151e+00 +3.5222e+00 -1.0105e+00
819 +3.648251092e+02 +3.648251092e+02 +3.784651092e+02 +3.784651092e+02 -6.5098e-02 +1.2394e+00 +2.2210e+00 +1.8608e+00 -5.4547e-01 -1.2685e+00 -1.5930e+00 +1.0601e+00 -1.1323e+00 +3.4838e+00 -3.3544e+00 +9.5421e-01 +2.8524e+00 +1.5965e-01 +1.2698e+00 +3.5110e-01 -4.0236e-01 -3.0717e+00 -1.4962e+00 +5.1942e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.454781666e+02 +7.454781666e+02 +9.402781666e+02 +9.402781666e+02 +1.0666e-01 -3.6740e+00 +3.6756e+00 -4.9910e-01 +2.7557e+00 +3.3226e+00 +8.0854e-02 -2.0993e+00 -2.7251e+00 +5.3933e-01 +1.4218e+00 -1.3220e+00 -1.0983e+00 -4.2011e+00 -4.5864e+00 -2.8004e+00 -1.3061e+00 +1.8527e+00 +4.4542e+00 -4.0654e-01
4 +6.303224281e+02 +6.303224281e+02 +8.251224281e+02 +8.251224281e+02 +1.4973e+00 +2.1751e+00 +3.4134e+00 -4.6126e+00 +3.4070e+00 +7.4173e-01 -3.3175e+00 +3.1712e+00 -1.8374e+00 +3.5106e+00 +4.2510e+00 +4.5996e+00 +1.8588e-01 -1.2836e+00 -1.4695e+00 +7.8967e-01 +5.8886e-01 +4.4260e+00 +1.6039e+00 +6.3413e-01
2646 +3.586911488e+02 +3.586911488e+02 +5.534911488e+02 +5.534911488e+02 -3.6835e+00 -2.1214e+00 +1.4275e+00 -3.1126e+00 +4.7925e+00 +3.8865e-01 -8.8232e-01 +7.2970e-01 -2.0843e+00 -2.2144e+00 -1.7201e+00 +1.5654e+00 +2.1990e+00 -2.8410e+00 +1.8564e+00 +9.6668e-01 -1.7427e+00 +1.4103e+00 +2.8712e+00 +2.7863e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.656398712e+02 +8.656398712e+02 +7.320498712e+02 +7.320498712e+02 +2.1402e+00 -2.5666e-01 -4.2381e+00 -4.1744e+00 -2.1283e+00 -2.9413e-01 -4.5749e+00 -2.9048e+00 +3.7417e-02 +4.9845e+00 -1.3869e+00 -3.5929e+00 +9.3792e-01 -4.4571e+00 -2.5390e+00 -1.6676e+00 -1.6423e+00 -1.8717e+00 +2.0365e+00 +4.9484e+00
5 +5.518355066e+02 +5.518355066e+02 +4.182455066e+02 +4.182455066e+02 +1.2113e-01 -4.1196e+00 +2.6481e+00 +1.6267e+00 +3.8395e+00 -2.9608e+00 -1.3725e+00 +1.1009e+00 +6.0285e-02 -4.9351e+00 -1.1519e+00 -3.6855e+00 +2.7781e+00 +7.1688e-01 -3.3936e+00 +4.7899e+00 +4.5284e-01 +4.4131e+00 -2.6706e+00 -2.5296e+00
2962 +3.354316998e+02 +3.354316998e+02 +2.018416998e+02 +2.018416998e+02 -2.2739e+00 -3.1303e+00 +1.0558e-01 -1.5317e+00 -1.0543e-01 -1.7988e+00 -3.5627e+00 +7.7349e-01 -3.5574e+00 -1.1540e+00 +6.8019e-01 -2.8049e-01 +2.9028e+00 -1.9244e+00 -2.5705e+00 +1.5081e+00 -3.1863e+00 -1.6289e+00 -1.3669e+00 +2.4051e+00
% function evaluation | noise-free fitness - Fopt (1.543700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
