% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.083611383e+03 +4.083611383e+03 +4.176551383e+03 +4.176551383e+03 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +1.923155348e+03 +1.923155348e+03 +2.016095348e+03 +2.016095348e+03 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
3 +1.164685047e+03 +1.164685047e+03 +1.257625047e+03 +1.257625047e+03 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
23 +9.075003203e+02 +9.075003203e+02 +1.000440320e+03 +1.000440320e+03 -2.4521e+00 -2.7596e+00 +1.6783e+00 +3.4439e+00 -1.5554e+00 +2.8052e+00 +1.7533e+00 -4.9328e+00 +1.0217e+00 -1.1323e+00 +4.1599e+00 -4.9885e+00 -3.7551e-01 -7.5651e-01 -3.9084e-01 +2.7016e+00 -1.7753e+00 +2.8474e+00 -2.8643e-01 -4.6424e+00
83 +6.201069459e+02 +6.201069459e+02 +7.130469459e+02 +7.130469459e+02 -2.6126e+00 -9.2173e-01 +6.5517e-01 +2.5285e+00 -1.1313e+00 +1.8976e+00 +1.4559e+00 +1.0032e+00 +1.4412e+00 +5.4687e-01 -9.7113e-01 -2.0297e-01 +1.2143e+00 -2.3804e+00 -1.8100e+00 -1.6359e-02 +2.8291e+00 +4.0386e-01 -1.1473e+00 -2.8556e+00
135 +3.861762163e+02 +3.861762163e+02 +4.791162163e+02 +4.791162163e+02 -3.4506e+00 -2.5425e-01 +2.4674e+00 +2.4942e+00 +1.3522e+00 +2.7771e+00 +1.6642e+00 +8.9943e-01 +2.6033e+00 +1.7570e+00 -4.7578e-01 -2.0959e+00 +1.1701e+00 -2.0183e+00 -5.3699e-01 -6.2574e-01 +2.0918e+00 +8.4845e-01 -1.1394e+00 -2.4398e+00
285 +2.452557496e+02 +2.452557496e+02 +3.381957496e+02 +3.381957496e+02 -3.7125e+00 -1.0618e+00 +1.9949e+00 +1.8624e+00 +1.7808e+00 +4.6629e+00 +2.1389e+00 +2.1506e+00 +5.0000e+00 +2.6556e+00 -1.5570e+00 -1.2011e+00 +8.8608e-01 -1.1805e+00 -3.4627e-01 -1.0925e+00 +2.3192e+00 -1.2390e+00 +1.5688e-01 -8.0197e-01
370 +1.481557913e+02 +1.481557913e+02 +2.410957913e+02 +2.410957913e+02 -2.2367e+00 -1.1275e+00 +6.9636e-01 +2.4409e+00 +2.0588e+00 +5.0000e+00 +2.9373e-01 +2.3391e+00 +5.0000e+00 +3.5333e+00 -3.3627e+00 -7.5420e-01 -1.1582e-02 +2.9194e-01 +4.0431e-02 -1.4664e+00 +3.1194e+00 -2.2863e+00 +8.2873e-01 -1.0553e-01
666 +9.875289606e+01 +9.875289606e+01 +1.916928961e+02 +1.916928961e+02 -1.6287e+00 -9.7679e-01 +8.3600e-01 +3.2532e+00 +1.6472e+00 +5.0000e+00 -4.3463e-01 +2.6424e+00 +5.0000e+00 +4.3198e+00 -4.1746e+00 -5.6489e-01 +3.4538e-01 +1.1940e+00 +1.0155e+00 -1.1986e+00 +3.7989e+00 -2.5847e+00 +1.2404e+00 +2.8086e-01
973 +6.175629828e+01 +6.175629828e+01 +1.546962983e+02 +1.546962983e+02 -1.5591e+00 +1.3535e-01 +1.4659e+00 +2.6611e+00 +1.1808e+00 +5.0000e+00 -4.1146e-01 +9.7610e-01 +5.0000e+00 +3.6173e+00 -3.3701e+00 -2.0040e+00 +7.5174e-01 +1.5344e+00 +8.4214e-01 -1.3054e-01 +3.6588e+00 -2.3548e+00 +1.3568e+00 -6.4859e-01
