% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.265530105e+02 +3.265530105e+02 +4.060330105e+02 +4.060330105e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.857992805e+02 +1.857992805e+02 +2.652792805e+02 +2.652792805e+02 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
21 +1.575761178e+02 +1.575761178e+02 +2.370561178e+02 +2.370561178e+02 -7.7114e-01 -4.0577e+00 +9.8524e-01 -2.9076e-01 +1.9595e+00 +1.9989e+00 +1.3853e+00 -4.6640e+00 -4.3119e+00 -1.8040e+00 +3.0864e-01 +1.5445e+00 -9.2381e-01 +3.1998e+00 +2.1836e+00 +4.6865e+00 +3.1334e-01 -1.7485e+00 -3.9437e+00 +1.1096e+00
134 +8.368612956e+01 +8.368612956e+01 +1.631661296e+02 +1.631661296e+02 -2.6226e+00 +1.8517e+00 +2.1457e+00 +1.0555e+00 -2.0129e+00 -3.8129e-01 +3.5357e-01 +1.8423e-01 -3.0666e+00 +2.1227e-01 -1.9324e+00 +8.6041e-01 +7.7666e-01 +3.1529e+00 +8.7525e-01 +4.1962e+00 +1.9092e+00 -2.2145e+00 -1.2542e-02 -1.0219e+00
283 +6.213215175e+01 +6.213215175e+01 +1.416121517e+02 +1.416121517e+02 -2.9080e+00 -8.2128e-01 -1.9763e-01 +1.4688e+00 -2.5736e+00 -1.0617e+00 -7.8857e-02 -9.4060e-01 -1.7300e+00 -1.0669e+00 -1.2642e+00 -5.8008e-01 -4.5379e-01 +6.2612e-01 +8.1780e-02 +2.5399e+00 +6.6521e-01 -2.7604e+00 -1.0599e+00 +2.0354e-01
456 +3.969851763e+01 +3.969851763e+01 +1.191785176e+02 +1.191785176e+02 -1.9275e+00 -1.5820e+00 +3.6542e-02 +7.5313e-01 -2.2487e+00 +5.0292e-01 +7.4429e-01 -1.0913e-01 -2.1637e+00 -1.5013e+00 -4.3870e+00 +1.8979e+00 -1.2703e+00 +1.1762e+00 +1.4523e+00 -2.8048e-02 +1.8317e+00 -2.7469e+00 +1.2496e+00 +1.8661e-02
610 +2.350647124e+01 +2.350647124e+01 +1.029864712e+02 +1.029864712e+02 +6.9418e-01 -8.1110e-01 -9.2692e-01 +6.7681e-01 -2.7837e+00 +1.9007e+00 +2.7868e-01 -2.1892e-01 -3.8388e-01 -1.2940e+00 -3.7061e+00 +1.3846e+00 +1.3271e-01 +7.6663e-01 +1.5475e+00 +4.2009e-01 +1.6764e-01 -4.6141e+00 +1.8293e+00 +3.5261e-01
681 +1.475243653e+01 +1.475243653e+01 +9.423243653e+01 +9.423243653e+01 +3.7864e-01 +1.1240e-01 -1.0875e+00 +1.3935e+00 -2.5452e+00 +8.7236e-01 +6.1888e-01 +2.3906e-01 -9.7382e-02 -3.1848e+00 -4.9603e+00 +1.5624e+00 +9.2129e-01 -7.2816e-02 +1.9544e+00 +1.0126e+00 -8.2883e-01 -3.8722e+00 +2.0307e+00 +3.4345e-01
953 +8.924076725e+00 +8.924076725e+00 +8.840407672e+01 +8.840407672e+01 +4.9678e-01 -7.2122e-01 -1.7131e+00 +2.7389e+00 -1.8450e+00 +8.1697e-01 +1.6137e-01 +3.0883e-01 -7.5445e-01 -2.5142e+00 -5.0000e+00 +1.9348e+00 +1.8151e+00 +3.9433e-01 +2.6705e+00 +1.7945e+00 -4.9231e-01 -3.6812e+00 +2.4774e+00 +6.3311e-01
1210 +6.217214644e+00 +6.217214644e+00 +8.569721464e+01 +8.569721464e+01 -5.2706e-01 -1.3572e+00 -1.5021e+00 +2.6354e+00 -2.5948e+00 +9.9907e-01 +3.4511e-01 +1.1395e-01 -1.4130e+00 -2.3221e+00 -5.0000e+00 +1.8297e+00 +8.9963e-01 +2.5901e-01 +3.6742e+00 +2.2833e+00 +4.7206e-01 -3.7219e+00 +2.1829e+00 +3.4923e-01
1411 +3.962257094e+00 +3.962257094e+00 +8.344225709e+01 +8.344225709e+01 -1.2528e-01 -1.5683e+00 -8.4113e-01 +1.6174e+00 -2.4804e+00 +2.1929e-01 +6.1020e-01 -5.9211e-01 -1.8129e+00 -3.6956e+00 -5.0000e+00 +1.7667e+00 +7.0013e-01 -2.3591e-01 +3.5833e+00 +2.5244e+00 -2.7983e-01 -3.5824e+00 +2.0560e+00 +1.5416e+00
1881 +2.473342792e+00 +2.473342792e+00 +8.195334279e+01 +8.195334279e+01 +4.6018e-01 -1.2169e+00 -8.2824e-01 +2.0704e+00 -2.8068e+00 +2.6986e-01 -2.5402e-03 -1.2730e-01 -1.9560e+00 -3.1273e+00 -5.0000e+00 +1.8098e+00 +6.6196e-01 -2.6024e-01 +3.3343e+00 +2.5019e+00 -4.8819e-01 -3.6009e+00 +2.5228e+00 +1.6301e+00
2918 +1.567876598e+00 +1.567876598e+00 +8.104787660e+01 +8.104787660e+01 +4.7581e-01 -1.1452e+00 -8.5516e-01 +1.8649e+00 -2.5013e+00 +3.2176e-01 -1.8356e-01 +2.6322e-01 -1.5930e+00 -3.2340e+00 -5.0000e+00 +2.0850e+00 +1.2062e+00 -1.7529e-01 +3.4949e+00 +2.9247e+00 -1.3111e-01 -3.7747e+00 +2.4076e+00 +1.3773e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.407729689e+02 +4.407729689e+02 +8.352529689e+02 +8.352529689e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +3.218841261e+02 +3.218841261e+02 +7.163641261e+02 +7.163641261e+02 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
10 +2.374502049e+02 +2.374502049e+02 +6.319302049e+02 +6.319302049e+02 +4.7009e-01 -2.0368e+00 +2.4469e+00 -3.1104e+00 +1.8678e+00 -3.1649e+00 -1.3152e+00 +1.2562e+00 +2.8023e+00 -4.1887e+00 +4.2939e+00 +2.7571e+00 -1.3208e-01 -6.4141e-01 -5.3216e-01 -1.9365e+00 +8.5087e-02 +1.0772e-01 +3.1763e+00 +2.9483e+00
123 +1.469744989e+02 +1.469744989e+02 +5.414544989e+02 +5.414544989e+02 -2.3301e+00 -2.2895e+00 +1.2044e+00 +9.5200e-01 -1.1313e+00 -5.5228e-01 +1.4559e+00 +1.4631e+00 +9.3648e-02 +5.4687e-01 -2.3975e-01 +1.4199e+00 +5.5693e-01 -1.3739e+00 -1.8100e+00 +1.9836e+00 +2.5974e+00 -8.4101e-01 -1.1473e+00 -7.6188e-01
250 +9.843827925e+01 +9.843827925e+01 +4.929182793e+02 +4.929182793e+02 -1.4717e+00 +5.6131e-01 -1.5336e+00 -1.5221e+00 +9.7409e-01 -2.5187e+00 +2.4176e+00 -2.4971e-01 -8.0409e-01 -4.3823e-01 +1.7859e+00 -2.0172e-01 +2.1802e+00 +2.3586e+00 -1.4101e-01 +1.2222e+00 -1.1697e-01 -3.1883e-01 +2.0660e+00 +1.3293e+00
368 +5.496387221e+01 +5.496387221e+01 +4.494438722e+02 +4.494438722e+02 -1.4697e+00 -1.9348e+00 -1.2769e+00 +5.5044e-01 -8.4336e-01 +4.8838e-01 +2.3992e+00 -7.6681e-01 -1.6296e+00 -2.8439e+00 +1.9725e+00 +5.6988e-02 +1.1061e+00 +3.6909e+00 -9.6464e-01 +3.0440e+00 -1.3070e+00 -7.9083e-01 -4.0224e-01 +4.7907e-01
470 +3.625514321e+01 +3.625514321e+01 +4.307351432e+02 +4.307351432e+02 -3.3336e+00 -1.2628e+00 -2.2882e+00 +7.2105e-01 +2.1663e+00 -1.1261e+00 +2.9804e+00 +6.4831e-01 -2.0994e+00 -2.7801e+00 +2.3585e+00 +2.8438e-01 +1.4930e+00 +2.2690e+00 -1.8420e+00 +3.5032e+00 -1.0890e+00 -5.0959e-01 +2.5379e-01 +9.4777e-01
614 +2.163295245e+01 +2.163295245e+01 +4.161129524e+02 +4.161129524e+02 -3.0632e+00 -1.5577e+00 -3.2384e+00 +1.8894e+00 +1.9589e+00 -1.3503e+00 +2.5790e+00 -9.0192e-01 -2.6593e+00 -3.8163e+00 +3.4383e+00 -3.0439e-01 +1.4790e+00 +2.9632e+00 -3.4738e+00 +3.3221e+00 -2.2792e+00 -1.1741e+00 +9.7948e-01 +1.7539e+00
683 +1.416380572e+01 +1.416380572e+01 +4.086438057e+02 +4.086438057e+02 -3.1863e+00 -1.0580e+00 -2.9530e+00 +2.6944e+00 +1.3270e+00 -2.2243e+00 +2.8247e+00 -7.1449e-01 -2.2059e+00 -3.2167e+00 +3.5742e+00 +9.1758e-01 +1.2709e+00 +3.9144e+00 -3.6102e+00 +3.4390e+00 -2.2136e+00 -1.7588e+00 +1.0832e+00 +1.6968e+00
