% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.456241185e+01 +8.456241185e+01 -9.154375881e+02 -9.154375881e+02 -2.7506e+00 +3.6300e+00 +1.8754e+00 -1.3992e+00 -3.0244e+00 +1.2156e+00 +4.9823e+00 -2.9703e+00 -1.2316e-01 -1.9661e-01 +2.7140e+00 +4.5041e+00 +3.0469e+00 -3.9076e+00 -2.9659e+00 +4.6075e+00 +2.2208e+00 -6.4675e-02 +8.1181e-01 +1.3651e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.641840484e+01 +8.641840484e+01 +1.086418405e+03 +1.086418405e+03 -1.9818e+00 -4.0065e+00 -3.4270e+00 +1.9233e+00 -4.9263e-01 -1.0044e+00 -4.8723e+00 +3.8210e+00 -2.5522e-01 +1.6703e+00 -8.4393e-01 -1.4132e-01 -2.3376e+00 +3.2764e+00 +4.4457e+00 -3.5816e+00 -9.5389e-01 +4.9401e+00 -2.3056e+00 +4.2139e-01
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.539433588e+01 +8.539433588e+01 +3.626433588e+01 +3.626433588e+01 +4.2753e+00 +2.8688e-01 -2.8887e+00 +3.3358e-01 +9.6806e-01 -3.0589e-01 -1.7799e+00 -4.9899e+00 -3.0305e+00 +5.8988e-01 +3.1644e+00 +5.9800e-02 +3.5209e+00 +2.4629e+00 -2.4546e+00 -2.8962e+00 -1.6207e+00 -3.5635e-01 +3.3434e+00 +2.3790e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.468059842e+01 +8.468059842e+01 +3.824105984e+02 +3.824105984e+02 +1.8878e+00 +3.5561e+00 +3.2441e+00 -3.0884e+00 +7.1276e-01 -1.7496e+00 -1.3871e+00 +3.0564e+00 -1.3959e+00 +3.8717e+00 +2.8032e+00 +6.0394e-01 -3.2023e+00 +6.4464e-01 -1.5687e+00 -4.5108e+00 +1.0097e+00 -4.3996e+00 +2.0884e-01 +7.4497e-01
% function evaluation | noise-free fitness - Fopt (5.157000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.613390896e+01 +8.613390896e+01 +1.377039090e+02 +1.377039090e+02 +2.9212e+00 -2.7047e+00 -1.1288e+00 +4.3958e+00 -1.4960e+00 -3.9201e+00 +4.8452e+00 -6.8036e-01 -4.2836e+00 +2.9961e+00 -1.1232e+00 -3.4042e+00 +4.5202e+00 -2.4666e+00 +2.6691e+00 +3.0158e+00 -8.9129e-01 -3.8189e+00 -4.2576e+00 -1.9254e+00
% function evaluation | noise-free fitness - Fopt (3.943000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.606461593e+01 +8.606461593e+01 +1.254946159e+02 +1.254946159e+02 -3.5855e-01 -2.5644e+00 -2.8148e+00 -1.8702e+00 -6.2630e-01 -1.5239e+00 +1.1399e+00 +2.3594e+00 -2.4130e+00 -2.7432e+00 -1.0498e+00 +4.8022e+00 -2.7607e+00 -4.4770e+00 +2.4824e+00 +3.2009e+00 +4.5754e+00 +3.7812e+00 +2.6669e+00 +2.7715e+00
