% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.468611613e+05 +2.468611613e+05 +2.463146613e+05 +2.463146613e+05 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.366574470e+05 +1.366574470e+05 +1.361109470e+05 +1.361109470e+05 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
4 +9.344113616e+04 +9.344113616e+04 +9.289463616e+04 +9.289463616e+04 +2.5127e+00 -2.4490e+00 +5.9571e-02 +1.9908e+00 +3.9090e+00 +4.5929e+00 +4.7216e-01 -3.6138e+00 -3.5071e+00 -2.4249e+00 +3.4072e+00 -2.4572e+00 +3.1428e+00 -2.5648e+00 +4.2926e+00 -1.5002e+00 -3.0340e+00 -2.4892e+00 +1.1604e+00 -2.6711e-01
13 +4.720881247e+04 +4.720881247e+04 +4.666231247e+04 +4.666231247e+04 -4.1448e+00 -2.3752e+00 +3.0101e+00 -4.7078e+00 +4.2885e+00 +2.3033e+00 -1.1391e-01 +7.8525e-01 -2.6272e+00 -4.1151e-01 +4.6309e+00 +4.6806e-01 +2.1136e-01 -2.6841e+00 -1.1102e-01 +1.2406e+00 +1.7914e+00 -1.0448e+00 -1.3256e+00 +4.8798e+00
51 +3.652919975e+04 +3.652919975e+04 +3.598269975e+04 +3.598269975e+04 +1.2642e+00 -2.2139e+00 +3.8619e+00 -6.7174e-01 -4.9273e-01 +3.3900e+00 +2.7594e+00 +1.9531e-01 +2.2475e-01 +1.8751e-01 -1.9226e+00 -9.8754e-01 +2.0374e-01 -2.0680e+00 +2.4431e+00 -2.0524e+00 -1.7408e+00 -2.2929e+00 -2.2153e+00 +3.5699e-01
59 +1.611727716e+04 +1.611727716e+04 +1.557077716e+04 +1.557077716e+04 -3.6740e+00 -3.8800e-01 +3.4716e+00 +6.9175e-01 -2.0957e+00 -3.1083e-01 -1.4929e-01 +4.0552e+00 -2.8919e+00 +2.5552e+00 +2.0191e+00 -2.3728e-01 -2.0908e+00 -1.7175e+00 +4.4058e-01 -2.7939e+00 +1.8951e+00 -2.7012e+00 -1.4222e+00 +1.8299e+00
131 +1.085218861e+04 +1.085218861e+04 +1.030568861e+04 +1.030568861e+04 +2.6420e-01 -2.5480e+00 +4.2749e+00 -1.2746e+00 +4.3400e-01 +2.3900e+00 +1.7594e+00 +1.1953e+00 -7.7525e-01 +1.1875e+00 -9.2258e-01 -4.7431e-02 +1.4578e-01 -1.0680e+00 +1.4431e+00 -1.3487e+00 -7.4078e-01 -1.9724e+00 -1.2153e+00 +1.3570e+00
135 +6.011005774e+03 +6.011005774e+03 +5.464505774e+03 +5.464505774e+03 -3.0544e+00 +4.4074e-01 +2.0002e+00 -1.6491e+00 +3.3066e+00 +1.0987e+00 -8.2334e-01 +3.0829e+00 +1.0549e+00 +2.6040e-01 -1.1708e+00 -6.0068e-01 +1.8651e+00 -2.7133e+00 +2.1265e-01 -1.6207e+00 +2.7868e+00 +1.2694e-01 -1.3687e+00 +1.7109e+00
211 +1.342623469e+03 +1.342623469e+03 +7.961234689e+02 +7.961234689e+02 -7.3580e-01 -2.6614e+00 +3.2749e+00 -1.9880e+00 +1.4340e+00 +1.3900e+00 +7.5943e-01 +2.1953e+00 -9.4877e-02 +1.4644e+00 -4.9092e-02 +7.4228e-01 +7.0570e-01 -4.9644e-01 +4.4309e-01 -9.2001e-01 +2.5922e-01 -9.7237e-01 -5.3782e-01 +2.3570e+00
251 +7.082159075e+02 +7.082159075e+02 +1.617159075e+02 +1.617159075e+02 -7.3580e-01 -2.1015e+00 +3.2749e+00 -1.9880e+00 +1.4756e+00 +8.6333e-01 +9.9481e-01 +2.1953e+00 -9.4877e-02 +1.4644e+00 +3.0303e-01 +7.4228e-01 +7.0570e-01 -4.9644e-01 +4.4309e-01 -9.2001e-01 +1.6098e+00 -9.7237e-01 -5.3782e-01 +2.3570e+00
375 +7.698607026e+01 +7.698607026e+01 -4.695139297e+02 -4.695139297e+02 -1.7078e-01 -1.4335e+00 +3.4042e+00 -2.4326e+00 +1.6595e+00 +7.9237e-01 +2.9306e-01 +1.8394e+00 -1.2044e+00 +1.2819e+00 -1.7720e-01 +7.2170e-01 +5.4325e-01 -9.4742e-01 +5.7606e-01 -8.0006e-01 +1.5608e+00 -1.6348e+00 -1.0080e+00 +2.5521e+00
605 +2.830262759e+01 +2.830262759e+01 -5.181973724e+02 -5.181973724e+02 -1.7628e-01 -1.4357e+00 +3.4131e+00 -2.2952e+00 +1.1707e+00 +6.4997e-01 +6.9706e-02 +1.5571e+00 -1.4877e+00 +1.5353e+00 -9.7817e-02 +9.9680e-01 +5.1787e-01 -1.0221e+00 +7.4087e-01 -9.2663e-01 +1.3472e+00 -1.3691e+00 -1.1875e+00 +2.4630e+00
668 +4.460175025e+00 +4.460175025e+00 -5.420398250e+02 -5.420398250e+02 -7.6479e-01 -1.4306e+00 +2.5418e+00 -6.9260e-01 +1.9395e+00 -5.5486e-01 +1.0288e-01 +1.5096e+00 -1.3555e+00 +5.8705e-01 +5.4498e-01 +7.2323e-01 +3.1214e-01 -6.7176e-01 +1.3399e+00 -1.7972e+00 +7.4846e-01 -1.4387e+00 -9.1923e-01 +2.3636e+00
684 +3.960285617e+00 +3.960285617e+00 -5.425397144e+02 -5.425397144e+02 +8.5426e-01 -5.8198e-01 +2.9699e+00 -2.0756e+00 +1.9004e+00 +9.3037e-01 -9.2825e-01 +2.2975e+00 -1.4586e+00 +2.9581e-01 +3.0321e-01 +4.0911e-01 +1.0558e+00 -6.6258e-01 +1.3887e+00 -1.2266e+00 +8.4251e-01 -1.4522e+00 -1.1547e+00 +1.9976e+00
3359 +2.507838345e+00 +2.507838345e+00 -5.439921617e+02 -5.439921617e+02 -2.2158e+00 -3.8281e-01 +2.7641e+00 -1.0411e+00 +1.3959e+00 +2.8232e-01 -7.7058e-01 +1.7230e+00 -2.0931e+00 +4.0350e-01 +5.2965e-01 +1.5939e+00 +8.9217e-01 -1.0585e+00 +1.2547e+00 -1.8341e+00 +2.1848e+00 -2.1469e+00 -1.5008e+00 +1.9043e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
