% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.194381176e+01 +7.194381176e+01 +5.500381176e+01 +5.500381176e+01 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +3.534434520e+01 +3.534434520e+01 +1.840434520e+01 +1.840434520e+01 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
13 +2.101549403e+01 +2.101549403e+01 +4.075494032e+00 +4.075494032e+00 -4.1448e+00 -2.3752e+00 +3.0101e+00 -4.7078e+00 +4.2885e+00 +2.3033e+00 -1.1391e-01 +7.8525e-01 -2.6272e+00 -4.1151e-01 +4.6309e+00 +4.6806e-01 +2.1136e-01 -2.6841e+00 -1.1102e-01 +1.2406e+00 +1.7914e+00 -1.0448e+00 -1.3256e+00 +4.8798e+00
43 +1.526571159e+01 +1.526571159e+01 -1.674288412e+00 -1.674288412e+00 -6.1256e-01 -1.1844e+00 +3.1939e+00 -3.7846e+00 +3.0058e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +1.9676e+00 -4.3082e+00 -2.2397e+00 +3.0735e+00 -4.1749e-01 -6.9152e-01 -1.2124e+00 -2.0701e+00 +4.5974e+00 +1.4540e-01 +8.5268e-01 +3.5388e+00
636 +8.123387524e+00 +8.123387524e+00 -8.816612476e+00 -8.816612476e+00 +1.8005e+00 -1.5185e+00 -3.7572e-01 -5.3146e-01 +2.9492e+00 -1.1140e+00 +1.4402e+00 -3.0390e+00 +1.6789e+00 -3.1488e+00 +5.2369e+00 -3.1262e+00 +8.5337e-01 -1.2210e+00 +9.6229e-01 +1.4504e+00 +3.6825e+00 -1.2895e+00 +8.3829e-01 +2.2015e+00
1104 +5.651836608e+00 +5.651836608e+00 -1.128816339e+01 -1.128816339e+01 +2.7208e+00 -4.3086e-01 +5.7964e-01 +4.6405e-01 +4.4805e+00 -1.7625e+00 +4.4990e+00 -2.7277e+00 +1.7140e+00 -2.0387e+00 +4.4354e+00 -3.3069e+00 +1.3354e+00 -1.5352e+00 +7.0964e-01 +5.7286e-01 +3.2135e+00 +6.2708e-01 +1.3895e-01 +2.1312e+00
1773 +3.951967688e+00 +3.951967688e+00 -1.298803231e+01 -1.298803231e+01 +3.3542e+00 -5.4627e-02 -1.3362e-01 +1.3839e+00 +2.9810e+00 -2.0208e+00 +2.8202e+00 -2.5925e+00 +5.4320e-01 -2.6340e+00 +2.3060e+00 -1.2018e+00 -8.3812e-01 -2.0142e+00 +1.2506e+00 +3.5557e+00 +3.2255e+00 -7.6999e-01 +1.0986e+00 +2.7236e+00
2743 +2.162671028e+00 +2.162671028e+00 -1.477732897e+01 -1.477732897e+01 +3.7778e+00 +1.7963e-02 -8.2058e-01 +1.6609e+00 +1.1725e+00 -1.4647e+00 +3.2897e+00 -2.6154e+00 +4.3246e-02 -1.4758e+00 +2.7693e+00 +6.1118e-02 -2.0351e+00 -2.7077e+00 +1.3915e+00 +2.4298e+00 +3.6725e+00 +1.1173e-01 +5.5199e-01 +2.6629e+00
4827 +1.439885800e+00 +1.439885800e+00 -1.550011420e+01 -1.550011420e+01 +3.3139e+00 +2.9567e-01 -1.3272e-01 +1.2943e+00 +2.9884e+00 -1.4869e+00 +2.4617e+00 -1.4919e+00 -8.5245e-03 -2.1992e+00 +3.4633e+00 -1.0561e+00 -1.3333e+00 -1.5355e+00 +2.1752e+00 +2.9807e+00 +3.3935e+00 -1.6864e-01 +6.0839e-02 +3.2705e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.424859177e+01 +1.424859177e+01 +3.305859177e+01 +3.305859177e+01 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
305 +9.476356511e+00 +9.476356511e+00 +2.828635651e+01 +2.828635651e+01 -2.7335e-01 +2.1273e+00 -1.1626e+00 +3.9857e+00 +1.3591e+00 -3.9117e+00 -3.1676e+00 +9.8802e-01 +1.0730e+00 +4.3072e+00 -1.6575e+00 +3.6193e+00 +4.9750e+00 -1.1580e-01 +1.6201e+00 -5.2002e+00 -6.6137e-01 +3.3292e+00 -1.5204e+00 +4.8929e+00
741 +6.269533330e+00 +6.269533330e+00 +2.507953333e+01 +2.507953333e+01 +1.0716e-01 -1.2961e+00 +7.6441e-01 -2.3843e+00 -1.9961e+00 -2.1551e+00 +7.1042e-01 +1.8501e+00 -4.8256e-01 +2.8051e+00 -3.8112e+00 +8.8191e-01 +1.9401e+00 +2.1535e+00 -5.7821e-01 -1.7492e+00 -2.8232e+00 +3.2923e+00 +3.7951e+00 +1.5878e+00
1238 +3.500962441e+00 +3.500962441e+00 +2.231096244e+01 +2.231096244e+01 +8.9886e-01 +5.7160e-01 +1.6947e+00 -1.0102e+00 +1.6568e+00 -3.3373e+00 +1.8816e+00 +2.0743e+00 +4.1469e+00 +3.8471e+00 -3.1271e+00 +2.8014e+00 +5.6236e-01 +1.1426e+00 -1.3486e+00 -4.4179e+00 -2.7260e+00 +2.9068e+00 -5.3577e-01 +2.0840e+00
