% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.747447124e+01 +2.747447124e+01 +1.053447124e+01 +1.053447124e+01 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00
9 +2.062838180e+01 +2.062838180e+01 +3.688381803e+00 +3.688381803e+00 -1.4834e+00 +3.3083e+00 +8.5264e-01 +4.9724e-01 +4.1719e+00 -2.1416e+00 +2.5720e+00 +2.5373e+00 -1.1955e+00 +6.7822e-01
67 +1.578445838e+01 +1.578445838e+01 -1.155541623e+00 -1.155541623e+00 +2.5287e+00 +3.8517e+00 +1.9946e+00 +2.9618e+00 -4.0129e+00 +1.9624e+00 +2.5498e+00 +4.8107e-01 +1.9157e+00 -1.9031e+00
68 +8.440494210e+00 +8.440494210e+00 -8.499505790e+00 -8.499505790e+00 +3.0162e+00 +1.9061e-01 -5.8261e-02 -2.3835e-01 +2.1504e+00 -3.8415e+00 +3.9092e+00 -3.9236e+00 +1.9875e+00 -3.0219e+00
98 +6.205574981e+00 +6.205574981e+00 -1.073442502e+01 -1.073442502e+01 +3.0097e+00 +3.1221e+00 -7.4536e-01 -1.3011e+00 +3.3128e+00 -2.9826e+00 +1.4912e+00 -1.2869e+00 +2.6998e+00 -3.6755e+00
565 +3.911919647e+00 +3.911919647e+00 -1.302808035e+01 -1.302808035e+01 +1.6877e+00 +3.1122e+00 -1.4974e+00 +1.3308e+00 +2.9689e+00 -3.8016e+00 +2.7422e+00 -2.3527e+00 +4.7936e-01 -2.6640e+00
625 +2.359777955e+00 +2.359777955e+00 -1.458022205e+01 -1.458022205e+01 +3.5795e+00 +2.9183e+00 -1.4117e+00 +7.8150e-01 +3.2908e+00 -1.9716e+00 +2.3823e+00 -1.2473e+00 +1.7462e-01 -1.7168e+00
933 +1.331933782e+00 +1.331933782e+00 -1.560806622e+01 -1.560806622e+01 +3.7125e+00 +2.6609e+00 -1.8847e+00 +1.7122e+00 +1.7970e+00 -2.0349e+00 +3.3789e+00 -1.5343e+00 +2.8017e-01 -2.0426e+00
1262 +8.804148170e-01 +8.804148170e-01 -1.605958518e+01 -1.605958518e+01 +4.1686e+00 +2.8953e+00 -1.4686e+00 +1.2427e+00 +1.4738e+00 -1.9401e+00 +3.4936e+00 -2.3090e+00 -8.6793e-02 -2.5324e+00
1562 +4.898755736e-01 +4.898755736e-01 -1.645012443e+01 -1.645012443e+01 +3.7366e+00 +2.5556e+00 -1.7901e+00 +1.4074e+00 +1.5086e+00 -1.9271e+00 +3.9353e+00 -1.9419e+00 -2.8272e-01 -2.2349e+00
