% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.265530105e+02 +3.265530105e+02 +4.060330105e+02 +4.060330105e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.857992805e+02 +1.857992805e+02 +2.652792805e+02 +2.652792805e+02 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
21 +1.575761178e+02 +1.575761178e+02 +2.370561178e+02 +2.370561178e+02 -7.7114e-01 -4.0577e+00 +9.8524e-01 -2.9076e-01 +1.9595e+00 +1.9989e+00 +1.3853e+00 -4.6640e+00 -4.3119e+00 -1.8040e+00 +3.0864e-01 +1.5445e+00 -9.2381e-01 +3.1998e+00 +2.1836e+00 +4.6865e+00 +3.1334e-01 -1.7485e+00 -3.9437e+00 +1.1096e+00
169 +9.910075895e+01 +9.910075895e+01 +1.785807589e+02 +1.785807589e+02 +2.1859e+00 -5.2886e+00 -1.1290e-01 +4.1337e+00 -3.4602e+00 -1.7764e+00 +2.3047e+00 +3.1365e+00 -5.6621e-01 -2.2987e+00 -2.6522e+00 -1.7656e-01 +1.6445e+00 +3.7132e-02 +1.2145e+00 -8.0952e-01 +3.5753e+00 -4.8532e+00 +4.9247e+00 -4.9076e-01
308 +5.576727903e+01 +5.576727903e+01 +1.352472790e+02 +1.352472790e+02 +1.8694e+00 -4.7497e+00 +2.6903e-01 +1.3521e+00 -2.5286e+00 +2.6307e+00 -2.1618e+00 -8.4124e-01 -1.0599e+00 -2.6759e+00 -3.9163e+00 +1.1522e-02 -8.4041e-01 +4.0853e-01 +1.8907e+00 +2.9123e+00 +2.1863e+00 -9.5914e-01 +9.8839e-01 +1.6880e-01
535 +3.694897286e+01 +3.694897286e+01 +1.164289729e+02 +1.164289729e+02 +2.5228e+00 -4.8661e-01 +1.7748e+00 +3.1756e+00 -3.4389e+00 -1.1754e+00 -9.7069e-01 +3.2759e-01 -5.6892e-01 -2.0648e+00 -3.5940e+00 -9.4324e-02 +1.2691e+00 +9.7273e-01 +1.4298e+00 +2.5293e+00 +1.6194e+00 -5.3889e+00 +1.6306e+00 +3.4596e-01
751 +2.137375039e+01 +2.137375039e+01 +1.008537504e+02 +1.008537504e+02 +7.9731e-01 -1.0295e+00 +1.0273e+00 +3.1871e+00 -3.7102e+00 +4.1296e-01 -9.4729e-01 +1.1505e+00 -1.7860e+00 -1.9622e+00 -3.8728e+00 +8.1690e-01 +1.0308e+00 +1.0209e-01 +1.2645e+00 +3.1319e+00 +1.7529e+00 -4.8699e+00 +1.9440e+00 +5.8848e-01
878 +1.560695537e+01 +1.560695537e+01 +9.508695537e+01 +9.508695537e+01 +1.0412e+00 -6.8446e-01 -1.3398e-01 +2.5615e+00 -1.3503e+00 -5.0937e-01 -5.6455e-01 +8.3111e-01 -1.7614e+00 -2.5121e+00 -4.1646e+00 +2.1262e+00 +1.3514e-01 -9.0729e-01 +2.3304e+00 +2.6118e+00 +2.1457e+00 -4.2259e+00 +1.9793e+00 +1.6322e-01
1048 +9.670987414e+00 +9.670987414e+00 +8.915098741e+01 +8.915098741e+01 +4.7728e-01 -1.0320e+00 +7.3675e-01 +1.5666e+00 -1.0543e+00 +2.2308e-01 +2.4476e-01 +1.9694e-01 -1.5503e+00 -1.8532e+00 -3.6835e+00 +2.5481e+00 +1.9118e+00 -5.8627e-01 +2.5237e+00 +2.6434e+00 -4.0547e-02 -4.3641e+00 +1.9142e+00 +1.0487e+00
1232 +5.963754482e+00 +5.963754482e+00 +8.544375448e+01 +8.544375448e+01 -2.0634e-01 -2.1458e+00 -6.5908e-03 +3.0768e+00 -3.2213e+00 +8.2303e-01 -4.8191e-01 +3.0345e-01 -2.3324e+00 -2.8513e+00 -3.9046e+00 +1.7361e+00 +1.0776e+00 +3.3163e-01 +3.5201e+00 +2.7223e+00 -3.5077e-01 -4.3269e+00 +2.2912e+00 +2.2455e-01
1401 +3.961357073e+00 +3.961357073e+00 +8.344135707e+01 +8.344135707e+01 +6.2982e-01 -1.6646e+00 +8.5616e-03 +2.3506e+00 -2.8729e+00 -1.7319e-01 -2.8015e-01 +1.3457e-01 -1.7700e+00 -1.8590e+00 -3.6712e+00 +2.3258e+00 +1.2682e+00 -6.7640e-01 +3.0953e+00 +2.7514e+00 -4.1501e-01 -3.9774e+00 +2.5611e+00 +1.3923e+00
1524 +2.372412831e+00 +2.372412831e+00 +8.185241283e+01 +8.185241283e+01 -3.2258e-02 -1.1707e+00 -5.0756e-01 +1.4441e+00 -3.0802e+00 +2.0724e-01 +5.8866e-02 +4.9210e-01 -2.0945e+00 -2.9888e+00 -3.6699e+00 +1.8674e+00 +8.4059e-01 -1.0894e+00 +3.2129e+00 +2.9543e+00 -1.8120e-01 -4.0336e+00 +2.2914e+00 +1.6480e+00
1774 +7.781076677e-01 +7.781076677e-01 +8.025810767e+01 +8.025810767e+01 +3.9108e-01 -1.4893e+00 -4.8024e-01 +2.3058e+00 -2.6727e+00 +4.1886e-01 +1.2660e-01 +2.5273e-01 -1.3866e+00 -3.0843e+00 -3.7125e+00 +1.7845e+00 +1.1327e+00 +2.0770e-02 +3.4574e+00 +2.7744e+00 -4.9210e-01 -3.7918e+00 +2.2697e+00 +1.3776e+00
2044 +6.225646584e-01 +6.225646584e-01 +8.010256466e+01 +8.010256466e+01 +2.0865e-01 -1.3716e+00 -4.7033e-01 +2.3891e+00 -2.7352e+00 +3.5851e-01 +8.6388e-02 +2.6196e-01 -1.5005e+00 -3.0363e+00 -3.6205e+00 +1.8674e+00 +1.1916e+00 +1.5509e-02 +3.5550e+00 +2.9671e+00 -2.0863e-01 -4.0502e+00 +2.5872e+00 +1.2040e+00
2205 +3.931521120e-01 +3.931521120e-01 +7.987315211e+01 +7.987315211e+01 +2.9304e-01 -1.3160e+00 -5.7498e-01 +2.0946e+00 -2.6293e+00 +3.5263e-01 +1.1869e-01 +3.4230e-01 -1.4711e+00 -3.2353e+00 -3.9237e+00 +2.2057e+00 +1.1715e+00 -4.7652e-02 +3.4523e+00 +2.8069e+00 -1.8705e-01 -4.0237e+00 +2.2194e+00 +1.2713e+00
2411 +1.688315459e-01 +1.688315459e-01 +7.964883155e+01 +7.964883155e+01 +1.8781e-01 -1.2044e+00 -5.5145e-01 +1.9783e+00 -2.7773e+00 +3.4393e-01 -1.5312e-03 +8.1856e-02 -1.6363e+00 -3.0958e+00 -3.7339e+00 +1.8668e+00 +1.1392e+00 -1.0247e-01 +3.6140e+00 +2.9759e+00 -4.8741e-02 -4.0710e+00 +2.3345e+00 +1.5084e+00
2510 +1.528453334e-01 +1.528453334e-01 +7.963284533e+01 +7.963284533e+01 +2.9603e-01 -1.1391e+00 -5.5263e-01 +1.9079e+00 -2.6602e+00 +3.7723e-01 +1.2356e-01 +1.4058e-01 -1.6706e+00 -2.9574e+00 -3.8203e+00 +1.9448e+00 +1.0771e+00 -1.1973e-01 +3.4850e+00 +3.0166e+00 -7.6417e-02 -3.9163e+00 +2.3623e+00 +1.3870e+00
2736 +9.625628072e-02 +9.625628072e-02 +7.957625628e+01 +7.957625628e+01 +3.1043e-01 -1.1734e+00 -5.5730e-01 +1.9070e+00 -2.7291e+00 +3.7190e-01 -1.4064e-02 +1.4546e-01 -1.6155e+00 -3.1077e+00 -3.8176e+00 +1.9452e+00 +1.0850e+00 -1.0915e-01 +3.5195e+00 +2.9233e+00 -6.3176e-02 -3.9931e+00 +2.2797e+00 +1.4256e+00
2909 +5.901730306e-02 +5.901730306e-02 +7.953901730e+01 +7.953901730e+01 +2.5584e-01 -1.0976e+00 -5.4761e-01 +1.9064e+00 -2.6957e+00 +3.8281e-01 -6.5754e-02 +1.2645e-01 -1.6207e+00 -3.0524e+00 -3.8365e+00 +1.9815e+00 +1.0777e+00 -4.7729e-02 +3.6145e+00 +2.9816e+00 -7.4205e-02 -3.9996e+00 +2.3530e+00 +1.3796e+00
3244 +3.927276574e-02 +3.927276574e-02 +7.951927277e+01 +7.951927277e+01 +2.0862e-01 -1.1210e+00 -5.6811e-01 +1.9195e+00 -2.6768e+00 +4.0101e-01 -6.8361e-02 +1.3549e-01 -1.6354e+00 -3.0242e+00 -3.8468e+00 +1.9722e+00 +1.0663e+00 -8.6280e-02 +3.6810e+00 +2.9027e+00 -1.1740e-01 -3.9540e+00 +2.3122e+00 +1.3679e+00
3739 +2.414252014e-02 +2.414252014e-02 +7.950414252e+01 +7.950414252e+01 +2.3806e-01 -1.1629e+00 -5.8336e-01 +1.9193e+00 -2.6840e+00 +4.7038e-01 -8.1119e-02 +1.2366e-01 -1.6574e+00 -3.0556e+00 -3.8528e+00 +2.0022e+00 +1.0700e+00 -9.7870e-02 +3.6338e+00 +2.9173e+00 -1.1608e-01 -3.9319e+00 +2.3539e+00 +1.3391e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.407729689e+02 +4.407729689e+02 +8.352529689e+02 +8.352529689e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
