% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.476486711e+02 +7.476486711e+02 +8.405886711e+02 +8.405886711e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00
3 +3.506771237e+02 +3.506771237e+02 +4.436171237e+02 +4.436171237e+02 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00
109 +2.011030180e+02 +2.011030180e+02 +2.940430180e+02 +2.940430180e+02 -1.7320e+00 +1.0661e+00 +6.8898e-01 +7.9922e-01 +4.8095e+00 +2.4261e+00 +6.4660e-01 +2.5944e+00 +2.0549e+00 +1.1636e+00
203 +1.120456852e+02 +1.120456852e+02 +2.049856852e+02 +2.049856852e+02 +5.5741e-01 -2.3818e+00 +4.9129e-01 +1.8021e+00 +4.1142e+00 +2.2172e+00 +1.0177e+00 +5.1142e-01 +2.5548e+00 -4.9120e-01
283 +9.794391457e+01 +9.794391457e+01 +1.908839146e+02 +1.908839146e+02 -3.4339e-01 -1.3818e+00 -5.0871e-01 +1.4682e+00 +5.0000e+00 +1.2172e+00 +3.7993e-01 +1.5114e+00 +3.0704e+00 +5.0880e-01
362 +4.272391948e+01 +4.272391948e+01 +1.356639195e+02 +1.356639195e+02 +6.7468e-01 +2.4406e-01 -4.2833e-01 +1.8216e+00 +5.0000e+00 +1.1010e+00 +1.3708e+00 +2.0961e-01 +2.6052e+00 +1.0665e+00
442 +2.329525512e+01 +2.329525512e+01 +1.162352551e+02 +1.162352551e+02 +1.1648e+00 -1.5269e-01 -1.2873e+00 +2.0943e+00 +5.0000e+00 +1.9600e+00 +2.2298e+00 -6.4940e-01 +2.8101e+00 +9.4450e-01
767 +1.516269142e+01 +1.516269142e+01 +1.081026914e+02 +1.081026914e+02 +1.4883e+00 -7.3053e-05 -1.0576e+00 +2.6140e+00 +3.6683e+00 +2.3489e+00 +1.9713e+00 -1.1147e+00 +2.5067e+00 +1.4925e+00
887 +6.479509363e+00 +6.479509363e+00 +9.941950936e+01 +9.941950936e+01 +1.5007e+00 -7.3053e-05 -1.0761e+00 +2.3831e+00 +3.6683e+00 +2.7804e+00 +2.6688e+00 -1.6634e+00 +2.6555e+00 +1.4925e+00
1019 +5.711700256e+00 +5.711700256e+00 +9.865170026e+01 +9.865170026e+01 +1.3741e+00 +7.9368e-02 -9.1069e-01 +2.8308e+00 +4.1573e+00 +3.1668e+00 +3.2649e+00 -1.9942e+00 +1.8657e+00 +1.6814e+00
1692 +2.945301030e+00 +2.945301030e+00 +9.588530103e+01 +9.588530103e+01 +1.0838e+00 -1.8273e-01 -8.3501e-01 +3.1183e+00 +3.3293e+00 +3.4751e+00 +2.6330e+00 -2.3078e+00 +2.2303e+00 +1.8264e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.926834480e+02 +5.926834480e+02 +6.280334480e+02 +6.280334480e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00
5 +2.880028153e+02 +2.880028153e+02 +3.233528153e+02 +3.233528153e+02 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00
34 +2.419646250e+02 +2.419646250e+02 +2.773146250e+02 +2.773146250e+02 -2.0802e+00 -6.8349e-01 -4.8451e+00 +4.8406e+00 -3.3283e+00 -3.9378e+00 -1.2759e+00 -3.0188e+00 -1.0312e-01 -1.6051e+00
