% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.531905767e+05 +6.531905767e+05 +6.533144067e+05 +6.533144067e+05 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +1.724102607e+05 +1.724102607e+05 +1.725340907e+05 +1.725340907e+05 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
10 +9.661109002e+04 +9.661109002e+04 +9.673492002e+04 +9.673492002e+04 +4.7009e-01 -2.0368e+00 +2.4469e+00 -3.1104e+00 +1.8678e+00 -3.1649e+00 -1.3152e+00 +1.2562e+00 +2.8023e+00 -4.1887e+00 +4.2939e+00 +2.7571e+00 -1.3208e-01 -6.4141e-01 -5.3216e-01 -1.9365e+00 +8.5087e-02 +1.0772e-01 +3.1763e+00 +2.9483e+00
50 +4.154061956e+04 +4.154061956e+04 +4.166444956e+04 +4.166444956e+04 +1.4701e+00 -2.3529e+00 +2.5394e+00 -2.1406e+00 +8.6775e-01 -2.1649e+00 -3.1515e-01 +3.5974e-01 +1.8023e+00 -3.1887e+00 +3.2939e+00 +1.7571e+00 +3.3108e-01 -1.6414e+00 +4.6784e-01 -1.8326e+00 -9.1491e-01 -1.5255e-01 +2.1763e+00 +1.9483e+00
123 +2.196004805e+04 +2.196004805e+04 +2.208387805e+04 +2.208387805e+04 -5.5735e-02 -3.7086e-01 +2.0138e+00 +9.5200e-01 -1.1313e+00 -1.0236e-01 +7.2807e-01 +4.0288e-01 +9.4805e-01 +5.4687e-01 -2.2397e+00 +7.4341e-01 -4.4902e-01 -2.3002e+00 -1.8100e+00 -1.7257e+00 +2.5974e+00 -2.4006e+00 +8.5268e-01 -7.6188e-01
170 +1.232076563e+04 +1.232076563e+04 +1.244459563e+04 +1.244459563e+04 +9.4504e-01 -1.2854e+00 +1.1727e+00 -1.4970e+00 -2.4049e-02 -1.2731e+00 +5.7665e-01 -4.3971e-01 +5.8363e-01 -1.9204e+00 +2.4021e+00 +3.3788e-01 +7.4413e-01 -2.5332e+00 -8.1082e-01 -1.7399e+00 -1.5750e-02 -3.8466e-01 +1.1556e+00 +1.1147e+00
214 +4.018190063e+03 +4.018190063e+03 +4.142020063e+03 +4.142020063e+03 -1.6226e+00 +8.5168e-01 +1.1801e+00 -3.8161e-02 -1.0129e+00 -8.6028e-01 +1.3536e+00 +1.7411e-02 -6.3447e-01 -7.8773e-01 -9.3238e-01 +7.9775e-01 +9.9193e-01 -2.0948e-01 +5.8865e-01 +1.0372e+00 +9.0923e-01 -9.8712e-02 +2.7692e-01 -2.1902e-02
282 +3.703893079e+03 +3.703893079e+03 +3.827723079e+03 +3.827723079e+03 -1.8874e-01 -6.4288e-01 +3.2342e-01 +3.3993e-01 -1.6272e+00 +2.2833e-01 +1.4275e+00 +8.6677e-01 +8.9073e-02 -6.8492e-01 +2.6346e+00 -9.9956e-01 +1.7692e+00 -6.5424e-01 -2.8682e-02 -2.7482e-01 -8.5248e-01 +1.7099e-01 +5.0222e-01 -6.5554e-01
317 +2.442313639e+03 +2.442313639e+03 +2.566143639e+03 +2.566143639e+03 -8.8757e-01 -1.2009e+00 -4.3295e-01 -7.9952e-01 -2.3481e-01 +2.8099e-01 +1.0895e+00 +5.1536e-02 +4.7659e-01 -1.4749e+00 +7.9486e-01 +4.0116e-02 +3.1342e-01 -1.2822e+00 +2.3454e-01 -5.9732e-01 -5.6466e-02 +7.8210e-01 -5.8533e-01 +8.9206e-01
534 +1.296903662e+03 +1.296903662e+03 +1.420733662e+03 +1.420733662e+03 +6.0626e-01 -3.5766e-01 +6.5083e-01 -1.5659e-01 -6.2838e-01 -1.4355e+00 +4.6496e-01 +1.8232e-01 -7.0338e-01 -3.2908e-01 +6.8037e-01 +1.7540e+00 +1.1141e+00 +1.2169e-01 -3.5701e-01 +3.8114e-01 +3.9859e-01 +5.0502e-01 +1.0692e-01 +3.4744e-01
625 +4.877075727e+02 +4.877075727e+02 +6.115375727e+02 +6.115375727e+02 +6.0443e-01 -8.0727e-01 +7.8009e-01 +4.2269e-01 +9.7637e-02 -3.5286e-01 +6.7122e-01 +1.7979e-01 -7.5743e-01 -9.1688e-01 +7.5690e-01 -1.1936e-02 +1.2791e+00 -2.4211e-01 +1.9377e-01 +1.3665e-01 -1.1931e+00 +5.6167e-01 +4.2544e-01 +4.2822e-01
995 +3.737944550e+02 +3.737944550e+02 +4.976244550e+02 +4.976244550e+02 +1.3212e-01 -8.7859e-02 +9.1835e-01 +9.0820e-02 +4.7987e-04 -4.1061e-01 +1.3284e-01 -1.0061e-01 -7.9218e-01 -4.4853e-01 +7.6613e-01 +1.2057e-02 +9.5931e-01 +1.4473e-01 +6.6407e-01 +2.9868e-01 -9.6406e-01 +8.8793e-03 -1.7564e-01 +5.3005e-01
1324 +2.285370054e+02 +2.285370054e+02 +3.523670054e+02 +3.523670054e+02 -3.0677e-01 +1.2012e-01 +7.6841e-01 -3.3567e-01 +2.4902e-01 -4.3807e-01 +2.8690e-01 -1.3167e-02 +2.0294e-01 +8.5649e-02 +3.9870e-01 +1.2874e-01 -9.1715e-02 +1.3371e-02 -1.0126e-01 +6.8665e-01 -1.0374e+00 +6.0680e-01 +3.3005e-01 +5.8827e-01
1700 +1.275962174e+02 +1.275962174e+02 +2.514262174e+02 +2.514262174e+02 -1.8569e-01 +4.0056e-01 +5.2143e-01 +3.8309e-01 -4.8851e-01 +4.1307e-01 +4.5304e-01 -7.6087e-02 -2.0225e-02 -6.4601e-01 +3.8618e-01 -9.2608e-03 -1.2865e-01 -2.7638e-01 +5.2137e-01 +2.5688e-01 -1.0116e+00 +5.0871e-02 +3.3909e-01 +1.4884e-01
2377 +9.817747669e+01 +9.817747669e+01 +2.220074767e+02 +2.220074767e+02 -2.6258e-02 +2.7608e-01 +7.7705e-01 -2.5925e-01 -3.5147e-01 -3.8690e-01 +6.3381e-01 -5.6047e-04 -4.9373e-02 -1.0310e+00 +2.3598e-01 +1.2826e-01 -5.2041e-01 -5.9330e-02 +2.0395e-01 +2.0919e-01 -9.1491e-01 +2.5910e-01 +5.1696e-01 -7.1450e-02
3069 +6.134903328e+01 +6.134903328e+01 +1.851790333e+02 +1.851790333e+02 -6.6266e-02 +3.1507e-01 +6.1989e-01 +2.1740e-01 -5.9890e-01 -2.4242e-01 +4.7425e-01 +2.2770e-01 +1.5261e-01 -8.5434e-01 +1.6848e-01 +3.1086e-01 -9.9027e-02 -6.8220e-02 +4.1339e-01 +3.4000e-01 -8.4775e-01 +2.4279e-01 +1.4988e-03 +1.6538e-01
3256 +3.638940462e+01 +3.638940462e+01 +1.602194046e+02 +1.602194046e+02 -2.5096e-01 +5.1212e-01 +5.8568e-01 +1.7670e-01 -5.4731e-01 +5.7397e-02 +4.4920e-01 +2.5308e-01 +6.5713e-02 -1.0587e+00 +3.0704e-01 +8.8184e-02 -3.1418e-01 -8.4534e-02 +5.3264e-01 +4.1701e-01 -1.0417e+00 -4.9722e-02 -2.6871e-01 +8.4413e-04
