% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.270507361e+04 +1.270507361e+04 +1.224298361e+04 +1.224298361e+04 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +5.328006655e+03 +5.328006655e+03 +4.865916655e+03 +4.865916655e+03 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
6 +1.708630539e+03 +1.708630539e+03 +1.246540539e+03 +1.246540539e+03 -3.3782e+00 +2.9428e+00 -1.8878e+00 +2.8533e-01 -3.3435e+00 +1.0198e+00 -2.3703e+00 +1.5408e+00 +1.8921e+00 +2.4815e+00 -4.9458e-01 -4.1618e+00 -2.7102e+00 +4.1334e+00 -3.4762e+00 +3.2582e+00 +3.8342e-01 +4.9613e+00 -4.2182e+00 -5.7322e-01
19 +1.464904304e+03 +1.464904304e+03 +1.002814304e+03 +1.002814304e+03 -4.6740e+00 +6.1200e-01 +3.8187e+00 +1.6918e+00 -3.0957e+00 -1.3108e+00 -3.9274e-01 +4.8164e+00 -3.4360e+00 +3.5552e+00 +1.4476e+00 -1.2373e+00 -3.0908e+00 -7.1747e-01 -1.7978e-01 -3.7939e+00 +8.9507e-01 -2.7381e+00 -1.1538e+00 +8.2986e-01
52 +9.816247096e+02 +9.816247096e+02 +5.195347096e+02 +5.195347096e+02 -2.7943e+00 +3.2338e+00 -1.2545e+00 -2.1518e+00 +3.0488e+00 +3.7975e+00 -1.7044e-01 -2.8888e+00 -3.1998e+00 +8.7198e-02 +1.2041e+00 -1.9510e+00 +2.8431e-02 +1.2076e+00 -1.7825e+00 -3.2459e+00 -1.2988e+00 -2.6858e+00 -1.0485e+00 +4.4481e-01
147 +5.298702612e+02 +5.298702612e+02 +6.778026120e+01 +6.778026120e+01 -2.9542e+00 +1.2704e+00 -3.9450e-01 +1.4524e+00 +1.2790e+00 +2.7198e+00 +2.3285e+00 +4.0000e+00 -4.8182e+00 -1.6113e+00 +8.4072e-02 -2.0618e+00 -7.8712e-01 +4.2740e-01 +1.6114e+00 -2.1515e+00 +2.6914e-01 -2.8569e-01 +4.1258e-01 +1.1995e+00
748 +3.870968326e+02 +3.870968326e+02 -7.499316745e+01 -7.499316745e+01 -6.6338e-01 +2.2044e+00 +9.6054e-01 +1.7529e+00 +2.1990e+00 +1.5351e+00 +2.6417e+00 +2.4096e+00 -3.7905e+00 -2.2860e+00 +6.3268e-01 -1.8249e+00 -2.5249e-01 +2.8145e-01 +1.2867e+00 -3.0114e+00 +4.4085e-01 +3.1190e-01 +1.8352e+00 +2.0847e+00
1638 +2.373193241e+02 +2.373193241e+02 -2.247706759e+02 -2.247706759e+02 -1.3433e+00 +2.8102e+00 +1.3770e+00 +9.3797e-01 +2.1034e+00 +1.9404e+00 +1.0588e+00 +3.6794e+00 +1.1409e+00 +5.7949e-02 +1.4353e+00 -3.4724e+00 -7.6142e-01 -2.4826e+00 +8.2003e-01 -4.0859e+00 +4.2123e-02 +2.6363e+00 +2.0109e+00 +2.1935e+00
2799 +1.537031505e+02 +1.537031505e+02 -3.083868495e+02 -3.083868495e+02 -5.7147e-01 +3.1821e+00 +2.0502e+00 +6.9904e-01 +1.6555e+00 +1.0089e+00 +1.3239e+00 +4.5399e+00 +6.2814e-01 +1.1713e+00 +1.2455e+00 -2.8267e+00 -4.1324e-01 -2.8139e+00 +9.2499e-01 -4.1150e+00 +3.7638e-01 +2.1955e+00 +2.5567e+00 +2.1591e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
