% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.762406607e+03 +3.762406607e+03 +3.300316607e+03 +3.300316607e+03 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
3 +2.118860262e+03 +2.118860262e+03 +1.656770262e+03 +1.656770262e+03 -6.1256e-01 -1.1844e+00 +2.6552e+00 +2.9520e+00 -3.1313e+00 -1.0236e-01 -5.4414e-01 +1.4631e+00 +2.0936e+00 +2.5469e+00 -2.2397e+00 +1.7970e+00 +1.5510e+00 -3.3739e+00 -3.8100e+00 -1.6359e-02 +4.5974e+00 -1.5961e+00 +8.5268e-01 -2.7619e+00
9 +1.270621986e+03 +1.270621986e+03 +8.085319861e+02 +8.085319861e+02 +2.8025e+00 -1.1026e+00 -2.5831e+00 -9.6088e-01 -4.0355e+00 -3.6803e+00 +4.4205e+00 +4.5613e+00 +7.5209e-01 -4.4022e+00 -2.6522e+00 -1.4684e+00 +3.2119e+00 -4.8460e+00 -4.5698e+00 -3.3101e+00 +1.4912e+00 +2.3172e+00 +1.4775e+00 -4.9076e-01
19 +9.187000752e+02 +9.187000752e+02 +4.566100752e+02 +4.566100752e+02 -4.6740e+00 +6.1200e-01 +3.8187e+00 +1.6918e+00 -3.0957e+00 -1.3108e+00 -3.9274e-01 +4.8164e+00 -3.4360e+00 +3.5552e+00 +1.4476e+00 -1.2373e+00 -3.0908e+00 -7.1747e-01 -1.7978e-01 -3.7939e+00 +8.9507e-01 -2.7381e+00 -1.1538e+00 +8.2986e-01
91 +6.009974270e+02 +6.009974270e+02 +1.389074270e+02 +1.389074270e+02 +2.7135e+00 -1.2139e+00 +3.7613e+00 +3.2826e-01 -1.4927e+00 +4.3900e+00 +3.7594e+00 +2.9346e+00 +1.4264e+00 +8.7045e-01 -2.9226e+00 -1.1662e+00 +2.2710e+00 -2.6951e+00 -1.0443e+00 -3.0524e+00 +1.6855e+00 +3.2157e+00 -2.7234e+00 -1.8876e+00
131 +3.957067200e+02 +3.957067200e+02 -6.638328001e+01 -6.638328001e+01 -5.0219e-01 -1.2139e+00 +3.7613e+00 -8.4519e-01 -1.4927e+00 +4.3900e+00 +3.3979e+00 +2.9346e+00 +1.4264e+00 +1.9925e+00 -2.9226e+00 -1.1662e+00 +2.2710e+00 -2.6951e+00 -9.7050e-01 -3.0524e+00 -8.0749e-01 +3.2157e+00 -2.7234e+00 +2.2081e+00
537 +2.486053126e+02 +2.486053126e+02 -2.134846874e+02 -2.134846874e+02 -4.5262e+00 +2.3582e+00 +2.2112e+00 +9.7685e-01 +2.3564e+00 -6.3963e-01 +3.5169e+00 +3.6652e+00 +7.2807e-01 +6.8829e-02 -3.5728e+00 -2.2171e+00 -8.1159e-01 -3.4302e+00 +2.2969e-01 -2.2990e+00 -1.1712e+00 +3.0806e+00 -3.9032e+00 +5.7115e-01
1252 +1.392180118e+02 +1.392180118e+02 -3.228719882e+02 -3.228719882e+02 -2.3611e+00 +2.0948e+00 +2.7378e+00 +9.1882e-01 +3.5735e+00 +2.3594e+00 +3.9027e+00 +2.6999e+00 +1.0928e+00 +1.9367e-01 -2.8071e+00 -3.7221e+00 -4.8549e-01 -2.9618e+00 -2.0719e+00 -3.4330e+00 -7.5763e-01 +3.0491e+00 -3.1264e+00 +2.4438e+00
1992 +8.986574829e+01 +8.986574829e+01 -3.722242517e+02 -3.722242517e+02 -2.2629e+00 +2.0488e+00 +3.1294e+00 +1.6497e+00 +3.7882e+00 +6.4351e-01 +1.8601e+00 +3.3248e+00 +1.3371e+00 +8.9587e-02 -2.0863e+00 -3.8477e+00 -7.4730e-01 -2.9613e+00 -1.9384e+00 -3.4550e+00 +1.0738e-01 +2.9560e+00 -3.1731e+00 +2.2393e+00
4053 +5.925725158e+01 +5.925725158e+01 -4.028327484e+02 -4.028327484e+02 -2.3893e+00 +2.4004e+00 +2.3610e+00 +2.4787e+00 +8.0674e-01 +3.5576e+00 +3.8388e+00 +1.8301e+00 +1.8760e+00 +6.7344e-01 -2.7531e+00 -4.4727e+00 -6.0477e-01 -2.9289e+00 -1.8417e+00 -3.9129e+00 -7.0133e-01 +2.5899e+00 -3.1834e+00 +2.4083e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.226184772e+04 +1.226184772e+04 +1.233950772e+04 +1.233950772e+04 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
2 +5.979719885e+02 +5.979719885e+02 +6.756319885e+02 +6.756319885e+02 +1.5574e+00 -4.6429e+00 +3.4913e+00 +4.3399e+00 +1.7874e+00 +2.5774e+00 +2.4313e+00 -1.0777e+00 +1.5548e+00 -3.2881e+00 +2.0605e+00 -4.6817e+00 -2.2308e+00 -4.5383e+00 -4.0287e+00 +3.2346e+00 +1.9483e+00 -1.8290e+00 +4.5022e+00 -4.6555e+00
394 +3.841423137e+02 +3.841423137e+02 +4.618023137e+02 +4.618023137e+02 +2.5745e+00 -3.7601e+00 +1.3428e+00 +3.7393e+00 +2.3607e+00 -7.4944e+00 +6.4980e-01 +1.4046e+00 +9.2907e-02 -2.8102e+00 +6.8788e-01 -8.3282e-01 -6.9036e-01 -3.8781e+00 -5.4942e-01 +4.3941e-01 -5.0052e-01 -2.8791e+00 +3.5326e+00 -4.9148e+00
770 +2.369092075e+02 +2.369092075e+02 +3.145692075e+02 +3.145692075e+02 +2.4600e+00 -3.6189e+00 +9.6072e-01 +2.6153e+00 -2.5592e+00 +1.4909e+00 +5.5289e-01 +1.1529e+00 -4.9311e-01 -3.5373e+00 +9.2752e-01 +1.4485e+00 -2.2028e-01 +5.7500e-02 -2.8011e+00 +1.3037e+00 +8.2441e-01 -1.5522e+00 +1.9042e+00 -3.1335e+00
1558 +1.387110084e+02 +1.387110084e+02 +2.163710084e+02 +2.163710084e+02 +2.2180e+00 -3.1402e-01 -2.1001e+00 +3.1710e+00 -3.8346e+00 -1.4216e+00 +1.2661e-01 +7.8591e-01 -3.9818e-01 -2.7673e+00 +2.2989e+00 +6.4082e-01 +2.1361e+00 -2.1946e+00 -1.7136e+00 +1.7229e+00 +1.3507e-01 -2.1487e+00 +3.1417e+00 -3.0868e+00
2110 +9.896064170e+01 +9.896064170e+01 +1.766206417e+02 +1.766206417e+02 +2.1505e+00 -1.7945e+00 -1.3215e+00 +5.0102e+00 -2.6045e+00 -1.8880e+00 +1.2465e+00 -5.5374e-01 +1.2814e-01 -2.7557e+00 +2.9861e+00 +1.5324e+00 +2.8516e-01 -1.1116e+00 -3.1394e+00 +8.3325e-01 -3.4977e-02 -2.4108e+00 +2.8033e+00 -3.1392e+00
3379 +5.442805449e+01 +5.442805449e+01 +1.320880545e+02 +1.320880545e+02 +2.3286e+00 -7.8020e-01 -3.2471e+00 +3.2783e+00 -3.3268e+00 -1.3380e+00 +5.3885e-01 +7.9937e-01 +1.2604e-01 -3.2502e+00 +2.5193e+00 -4.4169e-01 +3.1303e-01 -2.0664e+00 -2.3532e+00 +1.8590e+00 -3.3855e-01 -2.3095e+00 +3.2033e+00 -3.4397e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
