% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.883477533e+05 +2.883477533e+05 +2.878012533e+05 +2.878012533e+05 +2.0428e+00 +1.5434e+00 +3.9825e-01 -1.9501e+00 +4.2619e-01 -3.2549e+00 -4.8976e+00 -2.0065e+00 -2.0054e+00 +3.5361e+00 +4.1923e+00 +5.6110e-01 +3.2846e+00 +4.5652e+00 +4.8892e+00 -4.4175e+00 -1.4307e+00 +3.1235e+00 +4.3925e+00 +7.1539e-01
2 +1.176432437e+05 +1.176432437e+05 +1.170967437e+05 +1.170967437e+05 +4.4705e+00 -4.2257e+00 +2.8982e+00 -2.7745e+00 -2.3722e-01 -2.3518e+00 +3.7587e+00 -2.8734e+00 +1.2534e+00 +6.9367e-01 -1.1756e+00 +2.0033e+00 -1.2719e+00 -4.2326e+00 +3.9843e+00 +7.2317e-01 -3.2396e+00 -2.9834e+00 -4.1930e+00 +2.6745e+00
4 +6.574492088e+04 +6.574492088e+04 +6.519842088e+04 +6.519842088e+04 -1.4777e+00 +1.6172e+00 -7.3045e-02 -4.4283e+00 -3.4357e+00 -1.4735e+00 -3.1470e+00 +1.1771e+00 -4.0148e+00 +4.6741e+00 +2.8937e+00 -2.5732e+00 +3.6443e+00 -2.0003e-01 -1.5233e+00 -9.4816e-01 -1.4135e+00 -4.8642e+00 -2.0864e+00 +3.8333e+00
105 +4.436925968e+04 +4.436925968e+04 +4.382275968e+04 +4.382275968e+04 +4.3549e+00 +3.1108e+00 +2.0783e+00 -2.1002e-01 -4.6858e+00 -4.7079e+00 -3.0866e-01 -7.3964e-01 -3.4757e-01 -4.9704e-01 +4.7446e+00 -2.6711e-01 +7.8069e-02 -3.4612e+00 +4.0663e+00 -4.1568e+00 -6.5826e-01 -2.8472e+00 -3.0942e+00 +1.7048e+00
273 +3.680762049e+04 +3.680762049e+04 +3.626112049e+04 +3.626112049e+04 +2.4600e+00 -4.4314e+00 +1.9978e+00 +2.1879e+00 -1.0900e+00 +6.0908e-01 +3.0310e+00 +3.5403e-01 +2.4746e+00 +4.4473e+00 -1.9611e+00 +1.7840e+00 -1.7819e+00 -3.8021e+00 +3.1689e+00 -9.9536e-01 +3.6918e+00 -2.2010e+00 -2.1521e+00 -4.3517e-01
1060 +2.505920203e+04 +2.505920203e+04 +2.451270203e+04 +2.451270203e+04 +2.4565e+00 +4.6620e+00 -4.3956e+00 +4.3431e+00 -2.1227e-01 +1.7246e-02 -8.1775e-01 +4.0747e+00 +2.2284e+00 +3.5006e+00 +1.7830e-01 +2.1020e+00 +2.8488e+00 -9.2227e-01 +2.1583e+00 -3.4413e+00 +1.1352e+00 -3.3419e+00 -1.2377e-01 +3.6381e+00
1148 +1.353824313e+04 +1.353824313e+04 +1.299174313e+04 +1.299174313e+04 -3.2783e+00 +4.8231e-01 +2.1931e+00 -5.1100e-01 -2.1175e+00 -2.7139e-01 -8.9087e-02 +1.6855e+00 +1.9432e+00 -1.1928e+00 +1.6262e+00 -7.7255e-01 -1.0083e+00 -1.1197e+00 +2.6760e+00 -1.8364e+00 +1.5569e+00 -1.0374e-01 -3.6233e-01 +2.7580e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.928305079e+05 +1.928305079e+05 +1.938305079e+05 +1.938305079e+05 -1.1187e+00 -1.4745e+00 -2.8645e+00 +1.2935e+00 +4.9215e-02 +3.5132e+00 -3.1255e+00 +1.2096e+00 -1.3846e+00 +4.3244e+00 -2.4124e+00 +3.1311e+00 +1.7252e+00 +3.5473e+00 -1.2729e+00 -2.1008e+00 +4.0926e+00 +1.9964e+00 -1.6386e+00 +2.9856e+00
5 +1.561136404e+05 +1.561136404e+05 +1.571136404e+05 +1.571136404e+05 +1.4071e+00 +4.2022e+00 +6.0901e-02 +5.5424e-01 +2.7361e+00 -4.1239e+00 +2.7733e+00 +1.1778e+00 +3.6290e+00 -1.8931e+00 +1.5183e+00 -2.9910e+00 +1.1005e+00 -6.9270e-01 +3.3396e+00 +3.4300e+00 -2.5916e+00 +1.8398e+00 -3.7135e+00 +3.3611e+00
10 +8.707745760e+04 +8.707745760e+04 +8.807745760e+04 +8.807745760e+04 -6.2303e-01 -4.8883e+00 -2.8940e+00 -5.4399e-01 +4.8687e+00 +3.2469e-01 -3.4903e+00 +2.5354e-01 +1.2974e+00 +4.1414e+00 -3.8087e+00 +3.6996e-02 +4.1946e+00 -3.4450e+00 -8.2528e-01 -3.5721e+00 +4.3202e-01 -9.6345e-01 -3.8240e+00 +2.7512e+00
