% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.652700017e+01 +8.652700017e+01 -9.134729998e+02 -9.134729998e+02 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
322 +6.295536683e+01 +6.295536683e+01 -9.370446332e+02 -9.370446332e+02 -2.2641e-02 -8.2668e-01 +2.5781e+00 -3.6601e+00 +2.0447e+00 -3.2650e+00 -5.4662e-01 -4.5597e+00 +1.8361e+00 -1.4786e+00 +3.8081e+00 -1.0294e+00 +1.1215e+00 +9.3769e-01 -2.6654e+00 -6.4330e-01 +1.0740e+00 +5.8048e-01 +1.8360e+00 -9.1897e-01
402 +3.820162390e+01 +3.820162390e+01 -9.617983761e+02 -9.617983761e+02 -3.1360e-01 -2.0773e+00 +2.6299e+00 -1.6601e+00 +9.7188e-01 -2.4332e+00 -1.1521e+00 -4.9346e+00 +2.7018e+00 +5.2138e-01 +5.0000e+00 -1.9841e+00 +2.1218e+00 -4.0454e-01 -1.6120e+00 -2.6433e+00 +5.9161e-01 +3.6342e-01 +9.5808e-01 -2.0355e+00
445 +2.496138995e+01 +2.496138995e+01 -9.750386100e+02 -9.750386100e+02 -1.1323e+00 -1.5969e+00 +3.0119e+00 -2.1770e+00 +1.7634e+00 -3.1735e+00 -1.5441e+00 -5.0000e+00 +3.2069e+00 +1.0294e+00 +5.0000e+00 -1.2989e+00 +1.7603e+00 -3.4792e-01 -1.8103e+00 -2.4154e+00 +1.5180e+00 +4.7237e-02 +3.3772e-01 -1.7830e+00
521 +1.527439904e+01 +1.527439904e+01 -9.847256010e+02 -9.847256010e+02 -2.9621e+00 -2.6664e+00 +2.4741e+00 -3.0466e+00 +6.4794e-01 -4.3791e+00 -2.5294e+00 -5.0000e+00 +3.2418e+00 +1.8985e+00 +5.0000e+00 -1.8760e+00 +1.7045e+00 -2.4590e-01 -2.2300e+00 -2.7553e+00 +2.8687e+00 -9.8430e-01 +8.2943e-01 -2.3500e+00
658 +9.059126779e+00 +9.059126779e+00 -9.909408732e+02 -9.909408732e+02 -3.9778e+00 -3.2434e+00 +2.1466e+00 -3.6337e+00 +1.8134e+00 -3.6491e+00 -8.8020e-01 -5.0000e+00 +2.6317e+00 +2.3401e+00 +4.9905e+00 -9.5501e-01 +2.4042e+00 -2.0943e-01 -2.6822e+00 -2.8082e+00 +2.3735e+00 -1.0034e+00 +1.0556e+00 -1.5344e+00
1041 +5.877124697e+00 +5.877124697e+00 -9.941228753e+02 -9.941228753e+02 -3.9600e+00 -2.6930e+00 +1.7159e+00 -4.1626e+00 +1.7491e+00 -3.6763e+00 -1.1530e+00 -5.0000e+00 +2.1903e+00 +2.0786e+00 +5.0000e+00 -1.5213e+00 +1.6463e+00 -7.0134e-01 -2.6397e+00 -2.9306e+00 +2.2867e+00 -1.2001e+00 +1.1593e+00 -1.5264e+00
1325 +3.880592079e+00 +3.880592079e+00 -9.961194079e+02 -9.961194079e+02 -3.8029e+00 -2.1637e+00 +1.8233e+00 -4.2840e+00 +1.3774e+00 -3.5580e+00 -1.2799e+00 -5.0000e+00 +2.1624e+00 +2.0920e+00 +5.0000e+00 -1.4543e+00 +1.8946e+00 -9.7769e-01 -1.8923e+00 -2.8975e+00 +2.3600e+00 -8.8766e-01 +6.2275e-01 -1.4480e+00
1847 +2.492451325e+00 +2.492451325e+00 -9.975075487e+02 -9.975075487e+02 -3.8245e+00 -2.2680e+00 +1.9928e+00 -4.4571e+00 +1.1570e+00 -3.5723e+00 -1.0652e+00 -5.0000e+00 +1.9900e+00 +2.0876e+00 +5.0000e+00 -1.6080e+00 +1.6774e+00 -9.0181e-01 -1.6398e+00 -3.2397e+00 +2.0201e+00 -7.6920e-01 +6.0925e-01 -2.0242e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.646578105e+01 +8.646578105e+01 +1.086465781e+03 +1.086465781e+03 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
