% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.848629188e+08 +3.848629188e+08 +3.848622977e+08 +3.848622977e+08 +3.1472e+00 +4.0579e+00 -3.7301e+00 +4.1338e+00 +1.3236e+00 -4.0246e+00 -2.2150e+00 +4.6882e-01 +4.5751e+00 +4.6489e+00 -3.4239e+00 +4.7059e+00 +4.5717e+00 -1.4624e-01 +3.0028e+00 -3.5811e+00 -7.8239e-01 +4.1574e+00 +2.9221e+00 +4.5949e+00
16 +1.735216402e+08 +1.735216402e+08 +1.735210190e+08 +1.735210190e+08 -4.4038e+00 +1.8197e+00 -4.5757e+00 -4.2855e+00 +2.1650e-01 -4.0327e+00 +3.1815e+00 +3.1755e+00 +2.2244e+00 -3.5013e+00 +1.5961e+00 +1.8595e-01 +4.7297e+00 +1.4899e+00 +3.0033e+00 -4.6202e-01 -6.7608e-01 +3.2531e+00 -4.1653e+00 -3.6683e+00
72 +1.120570239e+08 +1.120570239e+08 +1.120564028e+08 +1.120564028e+08 +2.3864e+00 +3.2406e+00 +9.6528e-01 +1.7777e-01 -4.1652e+00 -1.0480e+00 +1.6094e+00 +2.2975e+00 +3.9075e+00 +1.4337e+00 +2.6903e+00 +8.1446e-01 +3.7666e-01 +2.3831e+00 +4.4243e+00 -3.0655e+00 +1.0295e+00 -1.5703e-01 +3.4486e+00 -2.9059e+00
297 +8.571798939e+07 +8.571798939e+07 +8.571736828e+07 +8.571736828e+07 -1.8315e+00 +3.1661e+00 +3.4235e+00 -3.6971e+00 +1.2220e+00 -3.2058e+00 +1.0448e+00 +2.0714e+00 +1.4124e+00 +3.1556e+00 -5.5765e-01 +3.4252e+00 +2.3152e+00 -2.7692e+00 +3.4206e-01 -5.2842e+00 +2.4721e+00 +3.0255e+00 +1.5943e+00 -1.7129e+00
438 +5.447400567e+07 +5.447400567e+07 +5.447338456e+07 +5.447338456e+07 +1.7329e+00 +4.5224e+00 +1.3400e+00 -3.6095e+00 -4.1181e+00 -1.7286e+00 -3.1120e-01 -3.8229e-01 +2.1754e+00 -4.8762e-01 -4.9367e-02 +6.2289e-02 +1.6608e+00 +3.5524e+00 +1.5568e+00 -4.7305e+00 +4.5991e-01 +3.5411e+00 +2.3283e+00 -1.2186e+00
468 +3.404463938e+07 +3.404463938e+07 +3.404401827e+07 +3.404401827e+07 +9.4759e-01 +4.4007e+00 +2.4078e+00 -3.1666e+00 -1.1571e+00 -4.5648e+00 +2.1842e+00 -6.0658e-01 +2.2807e+00 +8.9039e-01 +1.8120e-01 +4.5931e-01 +2.8558e+00 +1.4513e+00 +1.8214e+00 -3.8564e+00 +1.4322e+00 +3.0151e+00 +4.2775e-01 -2.7928e+00
634 +2.469363026e+07 +2.469363026e+07 +2.469300915e+07 +2.469300915e+07 -1.5866e+00 +2.8893e+00 +1.8216e-01 -1.4512e+00 -2.5310e+00 -1.6246e+00 +1.2070e-01 -3.1761e-01 +2.4226e+00 +7.3437e-01 -4.3367e-02 +3.2286e+00 +2.6619e+00 +2.7448e+00 +1.5466e+00 -2.9599e+00 +9.9581e-01 +3.4468e+00 +1.8296e+00 +1.5179e+00
835 +9.954693691e+06 +9.954693691e+06 +9.954072581e+06 +9.954072581e+06 -6.4006e-01 +3.4541e+00 +7.6434e-02 -3.7056e+00 -1.2170e+00 -2.1921e+00 +9.0577e-01 +6.2626e-01 +2.3294e+00 +7.6456e-01 -5.3548e-02 +3.2785e+00 +2.9277e+00 +2.2899e+00 +2.0085e+00 -2.7452e+00 +5.5282e-01 +3.1898e+00 +1.1863e+00 -2.0938e-01
1045 +6.122123626e+06 +6.122123626e+06 +6.121502516e+06 +6.121502516e+06 -1.2250e+00 +4.7851e+00 +6.4814e-01 -4.3021e+00 -1.2059e+00 -1.9276e+00 +1.1342e+00 +2.3659e-01 +1.6319e+00 -7.2759e-01 +2.8242e-01 +2.5077e+00 +2.9865e+00 +1.5205e+00 +2.3651e+00 -2.8976e+00 +7.4718e-01 +3.0671e+00 +5.9554e-01 +2.6961e-01
1366 +3.794486348e+06 +3.794486348e+06 +3.793865238e+06 +3.793865238e+06 -8.6803e-01 +3.9438e+00 +9.0614e-01 -3.1318e+00 -1.1309e+00 -1.7794e+00 +1.1557e+00 -1.3506e+00 +1.4875e+00 -2.5188e-01 +5.9195e-01 +2.2946e+00 +3.6344e+00 +1.5219e+00 +2.4063e+00 -2.9823e+00 +5.9230e-01 +1.8153e+00 +7.7434e-01 +6.9398e-01
1476 +2.009523167e+06 +2.009523167e+06 +2.008902057e+06 +2.008902057e+06 -6.0637e-01 +4.2201e+00 +1.1234e+00 -2.8887e+00 -9.0792e-01 -1.9184e+00 +1.7436e+00 -5.0226e-01 +1.1974e+00 -8.8634e-01 +5.4762e-01 +3.0809e+00 +3.0992e+00 +1.4136e+00 +2.2863e+00 -2.5809e+00 +6.2378e-01 +2.0966e+00 +8.6175e-01 +2.2932e-01
1751 +1.532122133e+06 +1.532122133e+06 +1.531501023e+06 +1.531501023e+06 -2.3981e-01 +4.2864e+00 +4.7753e-01 -3.4854e+00 -1.1503e+00 -2.2939e+00 +1.8254e+00 -6.9033e-01 +1.3355e+00 -7.2561e-01 +5.7138e-01 +2.5559e+00 +3.5165e+00 +1.5642e+00 +2.3825e+00 -2.9317e+00 +8.8416e-01 +2.4092e+00 +8.3733e-01 -2.5263e-01
